Voltage (V),Current (A),Temperature(C),Die Position,Subdie Position,X Position,Y Position
0.0,1e-15,25.0,3,3,-41999.3974,-2.13546
0.5,-3.6431800000000006e-14,25.0,3,3,-41999.3974,-2.13546
1.0,7.123599999999982e-15,25.0,3,3,-41999.3974,-2.13546
1.5,-2.3405900000000004e-14,25.0,3,3,-41999.3974,-2.13546
2.0,1.2822399999999962e-14,25.0,3,3,-41999.3974,-2.13546
2.5,-3.0325999999999996e-14,25.0,3,3,-41999.3974,-2.13546
3.0,-2.7883600000000037e-14,25.0,3,3,-41999.3974,-2.13546
3.5,5.0679199999999985e-14,25.0,3,3,-41999.3974,-2.13546
4.0,2.544139999999999e-14,25.0,3,3,-41999.3974,-2.13546
4.5,4.009549999999998e-14,25.0,3,3,-41999.3974,-2.13546
5.0,6.431569999999996e-14,25.0,3,3,-41999.3974,-2.13546
5.5,4.11133e-14,25.0,3,3,-41999.3974,-2.13546
6.0,9.565939999999998e-14,25.0,3,3,-41999.3974,-2.13546
6.5,8.100519999999998e-14,25.0,3,3,-41999.3974,-2.13546
7.0,8.527949999999998e-14,25.0,3,3,-41999.3974,-2.13546
7.5,1.215078e-13,25.0,3,3,-41999.3974,-2.13546
8.0,1.4715269999999998e-13,25.0,3,3,-41999.3974,-2.13546
8.5,1.149948e-13,25.0,3,3,-41999.3974,-2.13546
9.0,1.3636549999999998e-13,25.0,3,3,-41999.3974,-2.13546
9.5,1.1560539999999997e-13,25.0,3,3,-41999.3974,-2.13546
10.0,1.200831e-13,25.0,3,3,-41999.3974,-2.13546
10.5,1.5386939999999999e-13,25.0,3,3,-41999.3974,-2.13546
11.0,1.5122319999999996e-13,25.0,3,3,-41999.3974,-2.13546
11.5,1.638423e-13,25.0,3,3,-41999.3974,-2.13546
12.0,1.642495e-13,25.0,3,3,-41999.3974,-2.13546
12.5,2.0434479999999996e-13,25.0,3,3,-41999.3974,-2.13546
13.0,1.8215989999999995e-13,25.0,3,3,-41999.3974,-2.13546
13.5,1.8561990000000001e-13,25.0,3,3,-41999.3974,-2.13546
14.0,1.6648789999999998e-13,25.0,3,3,-41999.3974,-2.13546
14.5,1.9457520000000002e-13,25.0,3,3,-41999.3974,-2.13546
15.0,2.717134e-13,25.0,3,3,-41999.3974,-2.13546
15.5,1.4817019999999998e-13,25.0,3,3,-41999.3974,-2.13546
16.0,2.578732e-13,25.0,3,3,-41999.3974,-2.13546
16.5,2.9227000000000003e-13,25.0,3,3,-41999.3974,-2.13546
17.0,2.4749309999999996e-13,25.0,3,3,-41999.3974,-2.13546
17.5,2.6825309999999996e-13,25.0,3,3,-41999.3974,-2.13546
18.0,2.66218e-13,25.0,3,3,-41999.3974,-2.13546
18.5,3.311443e-13,25.0,3,3,-41999.3974,-2.13546
19.0,3.525151e-13,25.0,3,3,-41999.3974,-2.13546
19.5,3.1832180000000003e-13,25.0,3,3,-41999.3974,-2.13546
20.0,3.2951589999999995e-13,25.0,3,3,-41999.3974,-2.13546
20.5,3.7449629999999995e-13,25.0,3,3,-41999.3974,-2.13546
21.0,3.6391269999999995e-13,25.0,3,3,-41999.3974,-2.13546
21.5,4.516344e-13,25.0,3,3,-41999.3974,-2.13546
22.0,4.1683049999999994e-13,25.0,3,3,-41999.3974,-2.13546
22.5,4.807393e-13,25.0,3,3,-41999.3974,-2.13546
23.0,4.3555549999999994e-13,25.0,3,3,-41999.3974,-2.13546
23.5,4.819603e-13,25.0,3,3,-41999.3974,-2.13546
24.0,5.367102e-13,25.0,3,3,-41999.3974,-2.13546
24.5,5.487186e-13,25.0,3,3,-41999.3974,-2.13546
25.0,6.150696e-13,25.0,3,3,-41999.3974,-2.13546
25.5,6.655452999999999e-13,25.0,3,3,-41999.3974,-2.13546
26.0,6.653415e-13,25.0,3,3,-41999.3974,-2.13546
26.5,6.828453999999999e-13,25.0,3,3,-41999.3974,-2.13546
27.0,7.455324e-13,25.0,3,3,-41999.3974,-2.13546
27.5,7.461433999999999e-13,25.0,3,3,-41999.3974,-2.13546
28.0,8.251133999999999e-13,25.0,3,3,-41999.3974,-2.13546
28.5,8.340683999999999e-13,25.0,3,3,-41999.3974,-2.13546
29.0,9.449924000000002e-13,25.0,3,3,-41999.3974,-2.13546
29.5,9.480454e-13,25.0,3,3,-41999.3974,-2.13546
30.0,9.799994e-13,25.0,3,3,-41999.3974,-2.13546
30.5,1.0732164e-12,25.0,3,3,-41999.3974,-2.13546
31.0,1.1273554e-12,25.0,3,3,-41999.3974,-2.13546
31.5,1.1774244000000002e-12,25.0,3,3,-41999.3974,-2.13546
32.0,1.2881454e-12,25.0,3,3,-41999.3974,-2.13546
32.5,1.3779014e-12,25.0,3,3,-41999.3974,-2.13546
33.0,1.4650134e-12,25.0,3,3,-41999.3974,-2.13546
33.5,1.5354344000000002e-12,25.0,3,3,-41999.3974,-2.13546
34.0,1.6652873999999998e-12,25.0,3,3,-41999.3974,-2.13546
34.5,1.7652203999999999e-12,25.0,3,3,-41999.3974,-2.13546
35.0,1.9351684e-12,25.0,3,3,-41999.3974,-2.13546
35.5,2.0442604e-12,25.0,3,3,-41999.3974,-2.13546
36.0,2.2288634e-12,25.0,3,3,-41999.3974,-2.13546
36.5,2.4283234e-12,25.0,3,3,-41999.3974,-2.13546
37.0,2.6772414e-12,25.0,3,3,-41999.3974,-2.13546
37.5,2.8490214e-12,25.0,3,3,-41999.3974,-2.13546
38.0,3.1416983999999997e-12,25.0,3,3,-41999.3974,-2.13546
38.5,3.4734544e-12,25.0,3,3,-41999.3974,-2.13546
39.0,3.8510014e-12,25.0,3,3,-41999.3974,-2.13546
39.5,4.2643734e-12,25.0,3,3,-41999.3974,-2.13546
40.0,4.7711654e-12,25.0,3,3,-41999.3974,-2.13546
40.5,5.4422064e-12,25.0,3,3,-41999.3974,-2.13546
41.0,6.2534764e-12,25.0,3,3,-41999.3974,-2.13546
41.5,7.2882274e-12,25.0,3,3,-41999.3974,-2.13546
42.0,8.6480144e-12,25.0,3,3,-41999.3974,-2.13546
42.5,1.04234114e-11,25.0,3,3,-41999.3974,-2.13546
43.0,1.31721014e-11,25.0,3,3,-41999.3974,-2.13546
43.5,1.7851461400000002e-11,25.0,3,3,-41999.3974,-2.13546
44.0,2.7188031400000003e-11,25.0,3,3,-41999.3974,-2.13546
44.5,5.86017614e-11,25.0,3,3,-41999.3974,-2.13546
45.0,4.184158514e-10,25.0,3,3,-41999.3974,-2.13546
45.5,2.98911362514e-08,25.0,3,3,-41999.3974,-2.13546
46.0,1.7138797262514002e-06,25.0,3,3,-41999.3974,-2.13546
46.5,1.37882797262514e-05,25.0,3,3,-41999.3974,-2.13546
47.0,2.68902797262514e-05,25.0,3,3,-41999.3974,-2.13546
47.5,6.768098972625141e-05,25.0,3,3,-41999.3974,-2.13546
48.0,9.712679972625141e-05,25.0,3,3,-41999.3974,-2.13546
48.5,0.0001232698997262514,25.0,3,3,-41999.3974,-2.13546
49.0,0.0001517794997262514,25.0,3,3,-41999.3974,-2.13546
49.5,0.0001805991997262514,25.0,3,3,-41999.3974,-2.13546
50.0,0.00020945879972625138,25.0,3,3,-41999.3974,-2.13546
