Voltage (V),Current (A),Temperature(C),Die Position,Subdie Position,X Position,Y Position
0.0,1e-15,25.0,34,1,-1200.0,176392.84407
0.5,3.2564872999999996e-14,25.0,34,1,-1200.0,176392.84407
1.0,6.6350933e-14,25.0,34,1,-1200.0,176392.84407
1.5,8.873926300000001e-14,25.0,34,1,-1200.0,176392.84407
2.0,7.2863893e-14,25.0,34,1,-1200.0,176392.84407
2.5,9.179219300000001e-14,25.0,34,1,-1200.0,176392.84407
3.0,6.5740323e-14,25.0,34,1,-1200.0,176392.84407
3.5,1.0664995300000001e-13,25.0,34,1,-1200.0,176392.84407
4.0,8.6907543e-14,25.0,34,1,-1200.0,176392.84407
4.5,8.996049300000001e-14,25.0,34,1,-1200.0,176392.84407
5.0,1.0359695300000001e-13,25.0,34,1,-1200.0,176392.84407
5.5,1.02579353e-13,25.0,34,1,-1200.0,176392.84407
6.0,1.0420755300000001e-13,25.0,34,1,-1200.0,176392.84407
6.5,1.0909225300000001e-13,25.0,34,1,-1200.0,176392.84407
7.0,9.6880523e-14,25.0,34,1,-1200.0,176392.84407
7.5,1.24764153e-13,25.0,34,1,-1200.0,176392.84407
8.0,1.0990645300000001e-13,25.0,34,1,-1200.0,176392.84407
8.5,1.4409955299999999e-13,25.0,34,1,-1200.0,176392.84407
9.0,1.47152553e-13,25.0,34,1,-1200.0,176392.84407
9.5,1.51019553e-13,25.0,34,1,-1200.0,176392.84407
10.0,1.7849625299999998e-13,25.0,34,1,-1200.0,176392.84407
10.5,1.85416253e-13,25.0,34,1,-1200.0,176392.84407
11.0,1.66894953e-13,25.0,34,1,-1200.0,176392.84407
11.5,1.40639553e-13,25.0,34,1,-1200.0,176392.84407
12.0,1.71576253e-13,25.0,34,1,-1200.0,176392.84407
12.5,1.44913653e-13,25.0,34,1,-1200.0,176392.84407
13.0,1.82566753e-13,25.0,34,1,-1200.0,176392.84407
13.5,1.55090153e-13,25.0,34,1,-1200.0,176392.84407
14.0,2.04955153e-13,25.0,34,1,-1200.0,176392.84407
14.5,1.79310353e-13,25.0,34,1,-1200.0,176392.84407
15.0,2.52377753e-13,25.0,34,1,-1200.0,176392.84407
15.5,2.0088455299999998e-13,25.0,34,1,-1200.0,176392.84407
16.0,2.0739755299999998e-13,25.0,34,1,-1200.0,176392.84407
16.5,2.56244853e-13,25.0,34,1,-1200.0,176392.84407
17.0,2.35281253e-13,25.0,34,1,-1200.0,176392.84407
17.5,2.26732953e-13,25.0,34,1,-1200.0,176392.84407
18.0,2.44847053e-13,25.0,34,1,-1200.0,176392.84407
18.5,2.62757853e-13,25.0,34,1,-1200.0,176392.84407
19.0,2.98986153e-13,25.0,34,1,-1200.0,176392.84407
19.5,2.73544853e-13,25.0,34,1,-1200.0,176392.84407
20.0,3.1771105299999997e-13,25.0,34,1,-1200.0,176392.84407
20.5,2.89216853e-13,25.0,34,1,-1200.0,176392.84407
21.0,3.56585453e-13,25.0,34,1,-1200.0,176392.84407
21.5,3.40302853e-13,25.0,34,1,-1200.0,176392.84407
