Voltage (V),Current (A),Temperature(C),Die Position,Subdie Position,X Position,Y Position
0.0,1e-15,25.0,10,3,-61199.0961,58796.19105
0.5,-1.310735e-13,25.0,10,3,-61199.0961,58796.19105
1.0,-1.172335e-13,25.0,10,3,-61199.0961,58796.19105
1.5,-1.204899e-13,25.0,10,3,-61199.0961,58796.19105
2.0,-1.062427e-13,25.0,10,3,-61199.0961,58796.19105
2.5,-3.195419999999998e-14,25.0,10,3,-61199.0961,58796.19105
3.0,-6.04484e-14,25.0,10,3,-61199.0961,58796.19105
3.5,-7.143910000000001e-14,25.0,10,3,-61199.0961,58796.19105
4.0,-2.6255199999999987e-14,25.0,10,3,-61199.0961,58796.19105
4.5,8.142000000000249e-16,25.0,10,3,-61199.0961,58796.19105
5.0,-4.05024e-14,25.0,10,3,-61199.0961,58796.19105
5.5,-4.620129999999999e-14,25.0,10,3,-61199.0961,58796.19105
6.0,-5.149309999999999e-14,25.0,10,3,-61199.0961,58796.19105
6.5,-3.27683e-14,25.0,10,3,-61199.0961,58796.19105
7.0,2.7476700000000014e-14,25.0,10,3,-61199.0961,58796.19105
7.5,2.808729999999999e-14,25.0,10,3,-61199.0961,58796.19105
8.0,7.042169999999999e-14,25.0,10,3,-61199.0961,58796.19105
8.5,1.5468500000000026e-14,25.0,10,3,-61199.0961,58796.19105
9.0,6.655450000000003e-14,25.0,10,3,-61199.0961,58796.19105
9.5,4.0699999999998e-16,25.0,10,3,-61199.0961,58796.19105
10.0,1.791079999999998e-14,25.0,10,3,-61199.0961,58796.19105
10.5,3.2768500000000013e-14,25.0,10,3,-61199.0961,58796.19105
11.0,1.4043700000000024e-14,25.0,10,3,-61199.0961,58796.19105
11.5,4.0095599999999985e-14,25.0,10,3,-61199.0961,58796.19105
12.0,7.347460000000002e-14,25.0,10,3,-61199.0961,58796.19105
12.5,5.92274e-14,25.0,10,3,-61199.0961,58796.19105
13.0,1.1418060000000002e-13,25.0,10,3,-61199.0961,58796.19105
13.5,8.853579999999999e-14,25.0,10,3,-61199.0961,58796.19105
14.0,1.2741010000000002e-13,25.0,10,3,-61199.0961,58796.19105
14.5,1.530549e-13,25.0,10,3,-61199.0961,58796.19105
15.0,9.362420000000001e-14,25.0,10,3,-61199.0961,58796.19105
15.5,1.371797e-13,25.0,10,3,-61199.0961,58796.19105
16.0,1.357549e-13,25.0,10,3,-61199.0961,58796.19105
16.5,1.0848179999999999e-13,25.0,10,3,-61199.0961,58796.19105
17.0,1.6974460000000002e-13,25.0,10,3,-61199.0961,58796.19105
17.5,1.8887630000000003e-13,25.0,10,3,-61199.0961,58796.19105
18.0,2.1818459999999996e-13,25.0,10,3,-61199.0961,58796.19105
18.5,2.7435920000000005e-13,25.0,10,3,-61199.0961,58796.19105
19.0,2.3039669999999997e-13,25.0,10,3,-61199.0961,58796.19105
19.5,2.4301560000000004e-13,25.0,10,3,-61199.0961,58796.19105
20.0,2.4525420000000004e-13,25.0,10,3,-61199.0961,58796.19105
20.5,2.454577e-13,25.0,10,3,-61199.0961,58796.19105
21.0,2.4118369999999995e-13,25.0,10,3,-61199.0961,58796.19105
21.5,2.8982759999999997e-13,25.0,10,3,-61199.0961,58796.19105
22.0,3.1058770000000003e-13,25.0,10,3,-61199.0961,58796.19105
22.5,2.9593329999999997e-13,25.0,10,3,-61199.0961,58796.19105
23.0,3.5882409999999997e-13,25.0,10,3,-61199.0961,58796.19105
23.5,3.529219e-13,25.0,10,3,-61199.0961,58796.19105
24.0,3.539397e-13,25.0,10,3,-61199.0961,58796.19105
24.5,4.249714e-13,25.0,10,3,-61199.0961,58796.19105
25.0,4.3575869999999996e-13,25.0,10,3,-61199.0961,58796.19105
25.5,4.990568000000001e-13,25.0,10,3,-61199.0961,58796.19105
26.0,4.951894999999999e-13,25.0,10,3,-61199.0961,58796.19105
26.5,5.493287000000001e-13,25.0,10,3,-61199.0961,58796.19105
27.0,5.306039e-13,25.0,10,3,-61199.0961,58796.19105
27.5,5.800621000000001e-13,25.0,10,3,-61199.0961,58796.19105
28.0,6.576069999999999e-13,25.0,10,3,-61199.0961,58796.19105
28.5,6.358291999999999e-13,25.0,10,3,-61199.0961,58796.19105
29.0,7.380013e-13,25.0,10,3,-61199.0961,58796.19105
29.5,7.723983e-13,25.0,10,3,-61199.0961,58796.19105
30.0,8.116793e-13,25.0,10,3,-61199.0961,58796.19105
30.5,8.792512999999999e-13,25.0,10,3,-61199.0961,58796.19105
31.0,9.370543e-13,25.0,10,3,-61199.0961,58796.19105
31.5,9.938393e-13,25.0,10,3,-61199.0961,58796.19105
32.0,1.1141263e-12,25.0,10,3,-61199.0961,58796.19105
32.5,1.1774233e-12,25.0,10,3,-61199.0961,58796.19105
33.0,1.2555793e-12,25.0,10,3,-61199.0961,58796.19105
33.5,1.3357703e-12,25.0,10,3,-61199.0961,58796.19105
34.0,1.4277663e-12,25.0,10,3,-61199.0961,58796.19105
34.5,1.5883523000000001e-12,25.0,10,3,-61199.0961,58796.19105
35.0,1.6903203e-12,25.0,10,3,-61199.0961,58796.19105
35.5,1.8474453000000003e-12,25.0,10,3,-61199.0961,58796.19105
36.0,2.0216683e-12,25.0,10,3,-61199.0961,58796.19105
36.5,2.2374093000000003e-12,25.0,10,3,-61199.0961,58796.19105
37.0,2.4024723e-12,25.0,10,3,-61199.0961,58796.19105
37.5,2.7077703e-12,25.0,10,3,-61199.0961,58796.19105
38.0,2.8760883000000003e-12,25.0,10,3,-61199.0961,58796.19105
38.5,3.2642213000000003e-12,25.0,10,3,-61199.0961,58796.19105
39.0,3.5908883000000005e-12,25.0,10,3,-61199.0961,58796.19105
39.5,4.0119923e-12,25.0,10,3,-61199.0961,58796.19105
40.0,4.5896123e-12,25.0,10,3,-61199.0961,58796.19105
40.5,5.1912473e-12,25.0,10,3,-61199.0961,58796.19105
41.0,6.0491283e-12,25.0,10,3,-61199.0961,58796.19105
41.5,7.141476300000001e-12,25.0,10,3,-61199.0961,58796.19105
42.0,8.4607623e-12,25.0,10,3,-61199.0961,58796.19105
42.5,1.04225863e-11,25.0,10,3,-61199.0961,58796.19105
43.0,1.3564076299999999e-11,25.0,10,3,-61199.0961,58796.19105
43.5,1.9113336300000003e-11,25.0,10,3,-61199.0961,58796.19105
44.0,3.11057663e-11,25.0,10,3,-61199.0961,58796.19105
44.5,7.844794629999999e-11,25.0,10,3,-61199.0961,58796.19105
45.0,7.896952763e-10,25.0,10,3,-61199.0961,58796.19105
45.5,2.205216103763e-07,25.0,10,3,-61199.0961,58796.19105
46.0,4.2054477103763e-06,25.0,10,3,-61199.0961,58796.19105
46.5,2.1127659710376303e-05,25.0,10,3,-61199.0961,58796.19105
47.0,4.71032297103763e-05,25.0,10,3,-61199.0961,58796.19105
47.5,7.96926097103763e-05,25.0,10,3,-61199.0961,58796.19105
48.0,0.0001091023997103763,25.0,10,3,-61199.0961,58796.19105
48.5,0.00013533959971037628,25.0,10,3,-61199.0961,58796.19105
49.0,0.00016452949971037628,25.0,10,3,-61199.0961,58796.19105
49.5,0.0001934195997103763,25.0,10,3,-61199.0961,58796.19105
50.0,0.00021965879971037628,25.0,10,3,-61199.0961,58796.19105
