Voltage (V),Current (A),Temperature(C),Die Position,Subdie Position,X Position,Y Position
0.0,1e-15,25.0,19,5,-20399.6987,93597.37023
0.5,-5.067912e-14,25.0,19,5,-20399.6987,93597.37023
1.0,-9.76947e-15,25.0,19,5,-20399.6987,93597.37023
1.5,-1.0380059999999991e-14,25.0,19,5,-20399.6987,93597.37023
2.0,-1.9538990000000003e-14,25.0,19,5,-20399.6987,93597.37023
2.5,-1.913191e-14,25.0,19,5,-20399.6987,93597.37023
3.0,-9.158920000000001e-15,25.0,19,5,-20399.6987,93597.37023
3.5,-1.4043610000000003e-14,25.0,19,5,-20399.6987,93597.37023
4.0,3.5007200000000006e-14,25.0,19,5,-20399.6987,93597.37023
4.5,4.681199999999997e-15,25.0,19,5,-20399.6987,93597.37023
5.0,5.271440000000001e-14,25.0,19,5,-20399.6987,93597.37023
5.5,-2.6459e-15,25.0,19,5,-20399.6987,93597.37023
6.0,3.19543e-14,25.0,19,5,-20399.6987,93597.37023
6.5,5.149320000000001e-14,25.0,19,5,-20399.6987,93597.37023
7.0,6.69615e-14,25.0,19,5,-20399.6987,93597.37023
7.5,2.60519e-14,25.0,19,5,-20399.6987,93597.37023
8.0,3.9484900000000013e-14,25.0,19,5,-20399.6987,93597.37023
8.5,5.6378e-14,25.0,19,5,-20399.6987,93597.37023
9.0,1.0196870000000001e-13,25.0,19,5,-20399.6987,93597.37023
9.5,1.0318989999999999e-13,25.0,19,5,-20399.6987,93597.37023
10.0,1.396219e-13,25.0,19,5,-20399.6987,93597.37023
10.5,1.072606e-13,25.0,19,5,-20399.6987,93597.37023
11.0,7.40851e-14,25.0,19,5,-20399.6987,93597.37023
11.5,6.35015e-14,25.0,19,5,-20399.6987,93597.37023
12.0,7.958039999999999e-14,25.0,19,5,-20399.6987,93597.37023
12.5,7.388160000000001e-14,25.0,19,5,-20399.6987,93597.37023
13.0,1.384008e-13,25.0,19,5,-20399.6987,93597.37023
13.5,1.379936e-13,25.0,19,5,-20399.6987,93597.37023
14.0,1.2802059999999999e-13,25.0,19,5,-20399.6987,93597.37023
14.5,1.656738e-13,25.0,19,5,-20399.6987,93597.37023
15.0,1.129594e-13,25.0,19,5,-20399.6987,93597.37023
15.5,1.420642e-13,25.0,19,5,-20399.6987,93597.37023
16.0,1.512231e-13,25.0,19,5,-20399.6987,93597.37023
16.5,1.46542e-13,25.0,19,5,-20399.6987,93597.37023
17.0,1.909116e-13,25.0,19,5,-20399.6987,93597.37023
17.5,2.080082e-13,25.0,19,5,-20399.6987,93597.37023
18.0,1.699478e-13,25.0,19,5,-20399.6987,93597.37023
18.5,2.324318e-13,25.0,19,5,-20399.6987,93597.37023
19.0,2.403695e-13,25.0,19,5,-20399.6987,93597.37023
19.5,2.476966e-13,25.0,19,5,-20399.6987,93597.37023
20.0,2.515638e-13,25.0,19,5,-20399.6987,93597.37023
20.5,2.491214e-13,25.0,19,5,-20399.6987,93597.37023
21.0,2.959334e-13,25.0,19,5,-20399.6987,93597.37023
21.5,2.649966e-13,25.0,19,5,-20399.6987,93597.37023
22.0,3.160828e-13,25.0,19,5,-20399.6987,93597.37023
22.5,3.124195e-13,25.0,19,5,-20399.6987,93597.37023
23.0,3.6431960000000003e-13,25.0,19,5,-20399.6987,93597.37023
23.5,3.926103e-13,25.0,19,5,-20399.6987,93597.37023
