Voltage (V),Current (A),Temperature(C),Die Position,Subdie Position,X Position,Y Position
0.0,1e-15,25.0,16,6,-21599.6987,85197.6093
0.5,7.489923000000001e-14,25.0,16,6,-21599.6987,85197.6093
1.0,5.0679090000000004e-14,25.0,16,6,-21599.6987,85197.6093
1.5,9.565922999999999e-14,25.0,16,6,-21599.6987,85197.6093
2.0,7.835923e-14,25.0,16,6,-21599.6987,85197.6093
2.5,6.655443e-14,25.0,16,6,-21599.6987,85197.6093
3.0,1.0563233e-13,25.0,16,6,-21599.6987,85197.6093
3.5,1.6363843e-13,25.0,16,6,-21599.6987,85197.6093
4.0,1.3107363e-13,25.0,16,6,-21599.6987,85197.6093
4.5,1.8785863000000003e-13,25.0,16,6,-21599.6987,85197.6093
5.0,1.6750563e-13,25.0,16,6,-21599.6987,85197.6093
5.5,8.833223e-14,25.0,16,6,-21599.6987,85197.6093
6.0,1.0400413000000001e-13,25.0,16,6,-21599.6987,85197.6093
6.5,1.4145363e-13,25.0,16,6,-21599.6987,85197.6093
7.0,1.1031343000000001e-13,25.0,16,6,-21599.6987,85197.6093
7.5,1.3677253e-13,25.0,16,6,-21599.6987,85197.6093
8.0,1.5142663e-13,25.0,16,6,-21599.6987,85197.6093
8.5,1.7055843e-13,25.0,16,6,-21599.6987,85197.6093
9.0,1.7910683e-13,25.0,16,6,-21599.6987,85197.6093
9.5,1.9070803000000002e-13,25.0,16,6,-21599.6987,85197.6093
10.0,2.1391052999999999e-13,25.0,16,6,-21599.6987,85197.6093
10.5,2.1350333e-13,25.0,16,6,-21599.6987,85197.6093
11.0,2.6255423e-13,25.0,16,6,-21599.6987,85197.6093
11.5,2.5828013e-13,25.0,16,6,-21599.6987,85197.6093
12.0,2.3304223e-13,25.0,16,6,-21599.6987,85197.6093
12.5,2.6235073e-13,25.0,16,6,-21599.6987,85197.6093
13.0,2.5095303e-13,25.0,16,6,-21599.6987,85197.6093
13.5,2.5726243e-13,25.0,16,6,-21599.6987,85197.6093
14.0,2.6743893e-13,25.0,16,6,-21599.6987,85197.6093
14.5,2.5889063e-13,25.0,16,6,-21599.6987,85197.6093
15.0,2.4464353e-13,25.0,16,6,-21599.6987,85197.6093
15.5,2.7435903e-13,25.0,16,6,-21599.6987,85197.6093
16.0,2.6967773e-13,25.0,16,6,-21599.6987,85197.6093
16.5,2.8596033e-13,25.0,16,6,-21599.6987,85197.6093
17.0,3.3745343e-13,25.0,16,6,-21599.6987,85197.6093
17.5,3.5678873e-13,25.0,16,6,-21599.6987,85197.6093
18.0,3.2442743e-13,25.0,16,6,-21599.6987,85197.6093
18.5,3.5373583e-13,25.0,16,6,-21599.6987,85197.6093
19.0,4.1621983e-13,25.0,16,6,-21599.6987,85197.6093
19.5,4.3392672999999997e-13,25.0,16,6,-21599.6987,85197.6093
20.0,4.4003283e-13,25.0,16,6,-21599.6987,85197.6093
20.5,4.2334323000000003e-13,25.0,16,6,-21599.6987,85197.6093
21.0,5.118790299999999e-13,25.0,16,6,-21599.6987,85197.6093
21.5,4.713766300000001e-13,25.0,16,6,-21599.6987,85197.6093
22.0,4.778895300000001e-13,25.0,16,6,-21599.6987,85197.6093
22.5,5.4118733e-13,25.0,16,6,-21599.6987,85197.6093
23.0,5.2205553e-13,25.0,16,6,-21599.6987,85197.6093
23.5,5.853537300000001e-13,25.0,16,6,-21599.6987,85197.6093
24.0,6.061137299999999e-13,25.0,16,6,-21599.6987,85197.6093
24.5,6.325726299999999e-13,25.0,16,6,-21599.6987,85197.6093
25.0,6.2972323e-13,25.0,16,6,-21599.6987,85197.6093
25.5,7.473636300000001e-13,25.0,16,6,-21599.6987,85197.6093
26.0,7.660883299999999e-13,25.0,16,6,-21599.6987,85197.6093
26.5,7.6364623e-13,25.0,16,6,-21599.6987,85197.6093
27.0,8.342714300000001e-13,25.0,16,6,-21599.6987,85197.6093
27.5,8.2714793e-13,25.0,16,6,-21599.6987,85197.6093
28.0,8.9471983e-13,25.0,16,6,-21599.6987,85197.6093
28.5,9.093740299999999e-13,25.0,16,6,-21599.6987,85197.6093
29.0,9.7979593e-13,25.0,16,6,-21599.6987,85197.6093
29.5,1.04044793e-12,25.0,16,6,-21599.6987,85197.6093
30.0,1.09112693e-12,25.0,16,6,-21599.6987,85197.6093
30.5,1.13590293e-12,25.0,16,6,-21599.6987,85197.6093
31.0,1.23074793e-12,25.0,16,6,-21599.6987,85197.6093
31.5,1.3512379299999999e-12,25.0,16,6,-21599.6987,85197.6093
32.0,1.43814593e-12,25.0,16,6,-21599.6987,85197.6093
32.5,1.49411693e-12,25.0,16,6,-21599.6987,85197.6093
33.0,1.6345529299999999e-12,25.0,16,6,-21599.6987,85197.6093
33.5,1.71474393e-12,25.0,16,6,-21599.6987,85197.6093
34.0,1.82973893e-12,25.0,16,6,-21599.6987,85197.6093
34.5,1.99195193e-12,25.0,16,6,-21599.6987,85197.6093
35.0,2.14236193e-12,25.0,16,6,-21599.6987,85197.6093
35.5,2.30925593e-12,25.0,16,6,-21599.6987,85197.6093
36.0,2.46943393e-12,25.0,16,6,-21599.6987,85197.6093
36.5,2.75112093e-12,25.0,16,6,-21599.6987,85197.6093
37.0,2.98925093e-12,25.0,16,6,-21599.6987,85197.6093
37.5,3.26890293e-12,25.0,16,6,-21599.6987,85197.6093
38.0,3.55242093e-12,25.0,16,6,-21599.6987,85197.6093
38.5,3.9572429300000005e-12,25.0,16,6,-21599.6987,85197.6093
39.0,4.41945893e-12,25.0,16,6,-21599.6987,85197.6093
39.5,4.94721393e-12,25.0,16,6,-21599.6987,85197.6093
40.0,5.689285930000001e-12,25.0,16,6,-21599.6987,85197.6093
40.5,6.531088930000001e-12,25.0,16,6,-21599.6987,85197.6093
41.0,7.68673493e-12,25.0,16,6,-21599.6987,85197.6093
41.5,9.32210293e-12,25.0,16,6,-21599.6987,85197.6093
42.0,1.142334393e-11,25.0,16,6,-21599.6987,85197.6093
42.5,1.475493393e-11,25.0,16,6,-21599.6987,85197.6093
43.0,2.055067393e-11,25.0,16,6,-21599.6987,85197.6093
43.5,3.266237393e-11,25.0,16,6,-21599.6987,85197.6093
44.0,7.726300393e-11,25.0,16,6,-21599.6987,85197.6093
44.5,7.775526939300001e-10,25.0,16,6,-21599.6987,85197.6093
45.0,2.2623545929393e-07,25.0,16,6,-21599.6987,85197.6093
45.5,4.63074795929393e-06,25.0,16,6,-21599.6987,85197.6093
46.0,2.063613995929393e-05,25.0,16,6,-21599.6987,85197.6093
46.5,4.971734995929393e-05,25.0,16,6,-21599.6987,85197.6093
47.0,8.395626995929393e-05,25.0,16,6,-21599.6987,85197.6093
47.5,0.00011247899995929393,25.0,16,6,-21599.6987,85197.6093
48.0,0.00014080759995929392,25.0,16,6,-21599.6987,85197.6093
48.5,0.00016958959995929393,25.0,16,6,-21599.6987,85197.6093
49.0,0.00019915749995929393,25.0,16,6,-21599.6987,85197.6093
49.5,0.00022595799995929393,25.0,16,6,-21599.6987,85197.6093
50.0,0.00025679039995929394,25.0,16,6,-21599.6987,85197.6093
