Voltage (V),Current (A),Temperature(C),Die Position,Subdie Position,X Position,Y Position
0.0,1e-15,25.0,33,2,-21599.6987,176392.84407
0.5,3.8060191e-14,25.0,33,2,-21599.6987,176392.84407
1.0,1.3229481e-14,25.0,33,2,-21599.6987,176392.84407
1.5,9.810171100000001e-14,25.0,33,2,-21599.6987,176392.84407
2.0,1.27613611e-13,25.0,33,2,-21599.6987,176392.84407
2.5,6.3094431e-14,25.0,33,2,-21599.6987,176392.84407
3.0,7.5509811e-14,25.0,33,2,-21599.6987,176392.84407
3.5,1.13570011e-13,25.0,33,2,-21599.6987,176392.84407
4.0,9.9322811e-14,25.0,33,2,-21599.6987,176392.84407
4.5,1.23950011e-13,25.0,33,2,-21599.6987,176392.84407
5.0,1.44303111e-13,25.0,33,2,-21599.6987,176392.84407
5.5,1.37586611e-13,25.0,33,2,-21599.6987,176392.84407
6.0,1.47559611e-13,25.0,33,2,-21599.6987,176392.84407
6.5,1.47356111e-13,25.0,33,2,-21599.6987,176392.84407
7.0,1.44506611e-13,25.0,33,2,-21599.6987,176392.84407
7.5,1.29852411e-13,25.0,33,2,-21599.6987,176392.84407
8.0,1.52037211e-13,25.0,33,2,-21599.6987,176392.84407
8.5,1.1051701100000001e-13,25.0,33,2,-21599.6987,176392.84407
9.0,1.55293711e-13,25.0,33,2,-21599.6987,176392.84407
9.5,1.84398611e-13,25.0,33,2,-21599.6987,176392.84407
10.0,1.81142211e-13,25.0,33,2,-21599.6987,176392.84407
10.5,1.35144211e-13,25.0,33,2,-21599.6987,176392.84407
11.0,1.57939611e-13,25.0,33,2,-21599.6987,176392.84407
11.5,1.69947911e-13,25.0,33,2,-21599.6987,176392.84407
12.0,1.21304111e-13,25.0,33,2,-21599.6987,176392.84407
12.5,2.36502411e-13,25.0,33,2,-21599.6987,176392.84407
13.0,2.07193911e-13,25.0,33,2,-21599.6987,176392.84407
13.5,1.94778611e-13,25.0,33,2,-21599.6987,176392.84407
14.0,2.5441321099999996e-13,25.0,33,2,-21599.6987,176392.84407
14.5,2.17777511e-13,25.0,33,2,-21599.6987,176392.84407
15.0,2.11061111e-13,25.0,33,2,-21599.6987,176392.84407
15.5,2.1777761100000001e-13,25.0,33,2,-21599.6987,176392.84407
16.0,2.21441211e-13,25.0,33,2,-21599.6987,176392.84407
16.5,2.5400601099999996e-13,25.0,33,2,-21599.6987,176392.84407
17.0,2.72730811e-13,25.0,33,2,-21599.6987,176392.84407
17.5,2.23476411e-13,25.0,33,2,-21599.6987,176392.84407
18.0,2.64996711e-13,25.0,33,2,-21599.6987,176392.84407
18.5,3.00818011e-13,25.0,33,2,-21599.6987,176392.84407
19.0,3.01021511e-13,25.0,33,2,-21599.6987,176392.84407
19.5,3.3419701099999997e-13,25.0,33,2,-21599.6987,176392.84407
20.0,3.2931231099999996e-13,25.0,33,2,-21599.6987,176392.84407
20.5,3.42745311e-13,25.0,33,2,-21599.6987,176392.84407
21.0,3.8976091099999997e-13,25.0,33,2,-21599.6987,176392.84407
21.5,4.13981011e-13,25.0,33,2,-21599.6987,176392.84407
22.0,4.0400801099999997e-13,25.0,33,2,-21599.6987,176392.84407
22.5,4.44714111e-13,25.0,33,2,-21599.6987,176392.84407
23.0,4.55297611e-13,25.0,33,2,-21599.6987,176392.84407
23.5,5.049591109999999e-13,25.0,33,2,-21599.6987,176392.84407
24.0,4.87862511e-13,25.0,33,2,-21599.6987,176392.84407
24.5,4.80128511e-13,25.0,33,2,-21599.6987,176392.84407
25.0,5.48921611e-13,25.0,33,2,-21599.6987,176392.84407
25.5,5.326392109999999e-13,25.0,33,2,-21599.6987,176392.84407
26.0,6.15069111e-13,25.0,33,2,-21599.6987,176392.84407
26.5,5.918667109999999e-13,25.0,33,2,-21599.6987,176392.84407
27.0,6.48244511e-13,25.0,33,2,-21599.6987,176392.84407
27.5,6.72871711e-13,25.0,33,2,-21599.6987,176392.84407
28.0,6.64119911e-13,25.0,33,2,-21599.6987,176392.84407
28.5,7.56115911e-13,25.0,33,2,-21599.6987,176392.84407
29.0,7.59779211e-13,25.0,33,2,-21599.6987,176392.84407
29.5,8.332538109999999e-13,25.0,33,2,-21599.6987,176392.84407
30.0,8.98587111e-13,25.0,33,2,-21599.6987,176392.84407
30.5,8.87189411e-13,25.0,33,2,-21599.6987,176392.84407
31.0,9.586282110000002e-13,25.0,33,2,-21599.6987,176392.84407
31.5,1.058765611e-12,25.0,33,2,-21599.6987,176392.84407
32.0,1.106188611e-12,25.0,33,2,-21599.6987,176392.84407
32.5,1.173963611e-12,25.0,33,2,-21599.6987,176392.84407
33.0,1.264941611e-12,25.0,33,2,-21599.6987,176392.84407
33.5,1.3662996110000002e-12,25.0,33,2,-21599.6987,176392.84407
34.0,1.4306156110000002e-12,25.0,33,2,-21599.6987,176392.84407
34.5,1.495134611e-12,25.0,33,2,-21599.6987,176392.84407
35.0,1.675056611e-12,25.0,33,2,-21599.6987,176392.84407
35.5,1.712301611e-12,25.0,33,2,-21599.6987,176392.84407
36.0,1.920513611e-12,25.0,33,2,-21599.6987,176392.84407
36.5,2.087001611e-12,25.0,33,2,-21599.6987,176392.84407
37.0,2.2188896110000003e-12,25.0,33,2,-21599.6987,176392.84407
37.5,2.453356611e-12,25.0,33,2,-21599.6987,176392.84407
38.0,2.714281611e-12,25.0,33,2,-21599.6987,176392.84407
38.5,2.934909611e-12,25.0,33,2,-21599.6987,176392.84407
39.0,3.233692611e-12,25.0,33,2,-21599.6987,176392.84407
39.5,3.623656611e-12,25.0,33,2,-21599.6987,176392.84407
40.0,4.044149611e-12,25.0,33,2,-21599.6987,176392.84407
40.5,4.550736611e-12,25.0,33,2,-21599.6987,176392.84407
41.0,5.2447766109999995e-12,25.0,33,2,-21599.6987,176392.84407
41.5,6.009642611e-12,25.0,33,2,-21599.6987,176392.84407
42.0,6.949955611e-12,25.0,33,2,-21599.6987,176392.84407
42.5,8.386473611e-12,25.0,33,2,-21599.6987,176392.84407
43.0,1.0365397611e-11,25.0,33,2,-21599.6987,176392.84407
43.5,1.3331047611e-11,25.0,33,2,-21599.6987,176392.84407
44.0,1.8638097611e-11,25.0,33,2,-21599.6987,176392.84407
44.5,2.9570337611e-11,25.0,33,2,-21599.6987,176392.84407
45.0,7.233631761099999e-11,25.0,33,2,-21599.6987,176392.84407
45.5,6.75054997611e-10,25.0,33,2,-21599.6987,176392.84407
46.0,2.12387094097611e-07,25.0,33,2,-21599.6987,176392.84407
46.5,2.428039994097611e-06,25.0,33,2,-21599.6987,176392.84407
47.0,1.670543999409761e-05,25.0,33,2,-21599.6987,176392.84407
47.5,4.135003999409761e-05,25.0,33,2,-21599.6987,176392.84407
48.0,7.340176999409761e-05,25.0,33,2,-21599.6987,176392.84407
