Voltage (V),Current (A),Temperature(C),Die Position,Subdie Position,X Position,Y Position
0.0,1e-15,25.0,33,7,-22799.6987,177594.97953
0.5,-1.6547028999999999e-13,25.0,33,7,-22799.6987,177594.97953
1.0,-1.2985245e-13,25.0,33,7,-22799.6987,177594.97953
1.5,-1.2313596e-13,25.0,33,7,-22799.6987,177594.97953
2.0,-1.5101964e-13,25.0,33,7,-22799.6987,177594.97953
2.5,-1.5895732e-13,25.0,33,7,-22799.6987,177594.97953
3.0,-1.1356999e-13,25.0,33,7,-22799.6987,177594.97953
3.5,-9.93229e-14,25.0,33,7,-22799.6987,177594.97953
4.0,-9.54558e-14,25.0,33,7,-22799.6987,177594.97953
4.5,-1.0685352e-13,25.0,33,7,-22799.6987,177594.97953
5.0,-7.77487e-14,25.0,33,7,-22799.6987,177594.97953
5.5,-8.87393e-14,25.0,33,7,-22799.6987,177594.97953
6.0,-3.785669999999999e-14,25.0,33,7,-22799.6987,177594.97953
6.5,-8.16157e-14,25.0,33,7,-22799.6987,177594.97953
7.0,-8.85358e-14,25.0,33,7,-22799.6987,177594.97953
7.5,-2.56448e-14,25.0,33,7,-22799.6987,177594.97953
8.0,-8.48722e-14,25.0,33,7,-22799.6987,177594.97953
8.5,-1.9742500000000004e-14,25.0,33,7,-22799.6987,177594.97953
9.0,-5.67851e-14,25.0,33,7,-22799.6987,177594.97953
9.5,-7.876630000000001e-14,25.0,33,7,-22799.6987,177594.97953
10.0,-5.86168e-14,25.0,33,7,-22799.6987,177594.97953
10.5,-1.6486000000000002e-14,25.0,33,7,-22799.6987,177594.97953
11.0,-7.530699999999994e-15,25.0,33,7,-22799.6987,177594.97953
11.5,-1.85213e-14,25.0,33,7,-22799.6987,177594.97953
12.0,-8.751799999999992e-15,25.0,33,7,-22799.6987,177594.97953
12.5,3.175069999999999e-14,25.0,33,7,-22799.6987,177594.97953
13.0,-1.221180000000001e-14,25.0,33,7,-22799.6987,177594.97953
13.5,-2.0352999999999974e-15,25.0,33,7,-22799.6987,177594.97953
14.0,6.105899999999992e-15,25.0,33,7,-22799.6987,177594.97953
14.5,4.3352000000000006e-14,25.0,33,7,-22799.6987,177594.97953
15.0,2.70696e-14,25.0,33,7,-22799.6987,177594.97953
15.5,4.375909999999999e-14,25.0,33,7,-22799.6987,177594.97953
16.0,5.576729999999998e-14,25.0,33,7,-22799.6987,177594.97953
16.5,6.512960000000002e-14,25.0,33,7,-22799.6987,177594.97953
17.0,7.673099999999999e-14,25.0,33,7,-22799.6987,177594.97953
17.5,8.344749999999998e-14,25.0,33,7,-22799.6987,177594.97953
