Voltage (V),Current (A),Temperature(C),Die Position,Subdie Position,X Position,Y Position
0.0,1e-15,25.0,12,2,-2400.0,67195.95198
0.5,7.021799e-14,25.0,12,2,-2400.0,67195.95198
1.0,1.0278289000000001e-13,25.0,12,2,-2400.0,67195.95198
1.5,8.446519000000001e-14,25.0,12,2,-2400.0,67195.95198
2.0,1.4755959000000002e-13,25.0,12,2,-2400.0,67195.95198
2.5,1.4145369e-13,25.0,12,2,-2400.0,67195.95198
3.0,1.2293239e-13,25.0,12,2,-2400.0,67195.95198
3.5,1.9172569000000001e-13,25.0,12,2,-2400.0,67195.95198
4.0,8.772159000000001e-14,25.0,12,2,-2400.0,67195.95198
4.5,1.7503609e-13,25.0,12,2,-2400.0,67195.95198
5.0,1.3799359e-13,25.0,12,2,-2400.0,67195.95198
5.5,1.4532069e-13,25.0,12,2,-2400.0,67195.95198
6.0,1.5610779e-13,25.0,12,2,-2400.0,67195.95198
6.5,1.6811619e-13,25.0,12,2,-2400.0,67195.95198
7.0,1.5468309000000001e-13,25.0,12,2,-2400.0,67195.95198
7.5,1.5855019000000002e-13,25.0,12,2,-2400.0,67195.95198
8.0,2.0943289e-13,25.0,12,2,-2400.0,67195.95198
8.5,2.0760099e-13,25.0,12,2,-2400.0,67195.95198
9.0,1.7239029e-13,25.0,12,2,-2400.0,67195.95198
9.5,2.0027399e-13,25.0,12,2,-2400.0,67195.95198
10.0,2.1614939e-13,25.0,12,2,-2400.0,67195.95198
10.5,2.2632579e-13,25.0,12,2,-2400.0,67195.95198
11.0,2.4301539e-13,25.0,12,2,-2400.0,67195.95198
11.5,2.1716699e-13,25.0,12,2,-2400.0,67195.95198
12.0,2.7150959e-13,25.0,12,2,-2400.0,67195.95198
12.5,2.6214709e-13,25.0,12,2,-2400.0,67195.95198
13.0,2.8392509e-13,25.0,12,2,-2400.0,67195.95198
13.5,2.6967789000000003e-13,25.0,12,2,-2400.0,67195.95198
14.0,2.8799549000000003e-13,25.0,12,2,-2400.0,67195.95198
14.5,2.5136009e-13,25.0,12,2,-2400.0,67195.95198
