Voltage (V),Current (A),Temperature(C),Die Position,Subdie Position,X Position,Y Position
0.0,1e-15,25.0,30,3,-89998.64415,142793.80035
0.5,-1.3209131e-13,25.0,30,3,-89998.64415,142793.80035
1.0,-1.1295944999999999e-13,25.0,30,3,-89998.64415,142793.80035
1.5,-1.1947243e-13,25.0,30,3,-89998.64415,142793.80035
2.0,-9.17923e-14,25.0,30,3,-89998.64415,142793.80035
2.5,-1.2089709e-13,25.0,30,3,-89998.64415,142793.80035
3.0,-1.0583579999999999e-13,25.0,30,3,-89998.64415,142793.80035
3.5,-1.5671800000000002e-14,25.0,30,3,-89998.64415,142793.80035
4.0,-7.225330000000001e-14,25.0,30,3,-89998.64415,142793.80035
4.5,-9.74911e-14,25.0,30,3,-89998.64415,142793.80035
5.0,-1.054288e-13,25.0,30,3,-89998.64415,142793.80035
5.5,-7.95804e-14,25.0,30,3,-89998.64415,142793.80035
6.0,-6.024499999999999e-14,25.0,30,3,-89998.64415,142793.80035
6.5,-7.79522e-14,25.0,30,3,-89998.64415,142793.80035
7.0,-3.3989599999999986e-14,25.0,30,3,-89998.64415,142793.80035
7.5,-5.55639e-14,25.0,30,3,-89998.64415,142793.80035
8.0,-4.213089999999998e-14,25.0,30,3,-89998.64415,142793.80035
8.5,-2.2388999999999946e-15,25.0,30,3,-89998.64415,142793.80035
9.0,-2.4423999999999846e-15,25.0,30,3,-89998.64415,142793.80035
9.5,-5.128979999999999e-14,25.0,30,3,-89998.64415,142793.80035
10.0,-3.419319999999998e-14,25.0,30,3,-89998.64415,142793.80035
10.5,-1.32295e-14,25.0,30,3,-89998.64415,142793.80035
11.0,-2.91049e-14,25.0,30,3,-89998.64415,142793.80035
11.5,3.0529499999999986e-14,25.0,30,3,-89998.64415,142793.80035
12.0,1.1601200000000007e-14,25.0,30,3,-89998.64415,142793.80035
12.5,-1.2211899999999992e-14,25.0,30,3,-89998.64415,142793.80035
13.0,1.8317700000000002e-14,25.0,30,3,-89998.64415,142793.80035
13.5,6.004140000000002e-14,25.0,30,3,-89998.64415,142793.80035
14.0,6.085559999999999e-14,25.0,30,3,-89998.64415,142793.80035
14.5,2.4830700000000006e-14,25.0,30,3,-89998.64415,142793.80035
15.0,8.466859999999998e-14,25.0,30,3,-89998.64415,142793.80035
15.5,8.588979999999999e-14,25.0,30,3,-89998.64415,142793.80035
16.0,8.996049999999999e-14,25.0,30,3,-89998.64415,142793.80035
16.5,7.87662e-14,25.0,30,3,-89998.64415,142793.80035
17.0,9.749099999999999e-14,25.0,30,3,-89998.64415,142793.80035
17.5,1.1255230000000003e-13,25.0,30,3,-89998.64415,142793.80035
18.0,1.5468300000000002e-13,25.0,30,3,-89998.64415,142793.80035
18.5,1.221182e-13,25.0,30,3,-89998.64415,142793.80035
19.0,2.1268930000000003e-13,25.0,30,3,-89998.64415,142793.80035
19.5,1.9823870000000003e-13,25.0,30,3,-89998.64415,142793.80035
20.0,1.6160320000000002e-13,25.0,30,3,-89998.64415,142793.80035
20.5,1.9681390000000003e-13,25.0,30,3,-89998.64415,142793.80035
21.0,2.037339e-13,25.0,30,3,-89998.64415,142793.80035
21.5,2.263259e-13,25.0,30,3,-89998.64415,142793.80035
22.0,2.238833e-13,25.0,30,3,-89998.64415,142793.80035
22.5,2.57466e-13,25.0,30,3,-89998.64415,142793.80035
23.0,3.0672030000000005e-13,25.0,30,3,-89998.64415,142793.80035
23.5,2.995968e-13,25.0,30,3,-89998.64415,142793.80035
24.0,3.1994989999999996e-13,25.0,30,3,-89998.64415,142793.80035
24.5,3.7103599999999997e-13,25.0,30,3,-89998.64415,142793.80035
25.0,3.6737230000000004e-13,25.0,30,3,-89998.64415,142793.80035
25.5,4.22529e-13,25.0,30,3,-89998.64415,142793.80035
26.0,4.3494460000000004e-13,25.0,30,3,-89998.64415,142793.80035
26.5,4.949859e-13,25.0,30,3,-89998.64415,142793.80035
27.0,4.79314e-13,25.0,30,3,-89998.64415,142793.80035
27.5,5.363028999999999e-13,25.0,30,3,-89998.64415,142793.80035
28.0,6.057065000000001e-13,25.0,30,3,-89998.64415,142793.80035
28.5,5.912555000000001e-13,25.0,30,3,-89998.64415,142793.80035
29.0,5.953265999999999e-13,25.0,30,3,-89998.64415,142793.80035
29.5,7.109317000000001e-13,25.0,30,3,-89998.64415,142793.80035
30.0,7.738231e-13,25.0,30,3,-89998.64415,142793.80035
30.5,8.139175999999999e-13,25.0,30,3,-89998.64415,142793.80035
31.0,8.924806e-13,25.0,30,3,-89998.64415,142793.80035
31.5,9.515046e-13,25.0,30,3,-89998.64415,142793.80035
32.0,1.0007596e-12,25.0,30,3,-89998.64415,142793.80035
32.5,1.0632435999999999e-12,25.0,30,3,-89998.64415,142793.80035
33.0,1.1304086e-12,25.0,30,3,-89998.64415,142793.80035
33.5,1.3091075999999999e-12,25.0,30,3,-89998.64415,142793.80035
34.0,1.3294606e-12,25.0,30,3,-89998.64415,142793.80035
34.5,1.5146736e-12,25.0,30,3,-89998.64415,142793.80035
35.0,1.6172536e-12,25.0,30,3,-89998.64415,142793.80035
35.5,1.7405926e-12,25.0,30,3,-89998.64415,142793.80035
36.0,1.8726836e-12,25.0,30,3,-89998.64415,142793.80035
36.5,2.0979916e-12,25.0,30,3,-89998.64415,142793.80035
37.0,2.2716036e-12,25.0,30,3,-89998.64415,142793.80035
37.5,2.4954876e-12,25.0,30,3,-89998.64415,142793.80035
38.0,2.7877576e-12,25.0,30,3,-89998.64415,142793.80035
38.5,3.0354536e-12,25.0,30,3,-89998.64415,142793.80035
39.0,3.4280626e-12,25.0,30,3,-89998.64415,142793.80035
39.5,3.7968616e-12,25.0,30,3,-89998.64415,142793.80035
40.0,4.3695945999999996e-12,25.0,30,3,-89998.64415,142793.80035
40.5,5.0001336e-12,25.0,30,3,-89998.64415,142793.80035
41.0,5.7529926e-12,25.0,30,3,-89998.64415,142793.80035
41.5,6.7230186e-12,25.0,30,3,-89998.64415,142793.80035
42.0,8.1216796e-12,25.0,30,3,-89998.64415,142793.80035
42.5,9.9088836e-12,25.0,30,3,-89998.64415,142793.80035
43.0,1.27589236e-11,25.0,30,3,-89998.64415,142793.80035
43.5,1.74680036e-11,25.0,30,3,-89998.64415,142793.80035
44.0,2.70076736e-11,25.0,30,3,-89998.64415,142793.80035
44.5,5.80257136e-11,25.0,30,3,-89998.64415,142793.80035
45.0,3.253284636e-10,25.0,30,3,-89998.64415,142793.80035
45.5,3.3966190363600006e-08,25.0,30,3,-89998.64415,142793.80035
46.0,1.0838667903636e-06,25.0,30,3,-89998.64415,142793.80035
46.5,1.59141397903636e-05,25.0,30,3,-89998.64415,142793.80035
47.0,4.14539897903636e-05,25.0,30,3,-89998.64415,142793.80035
47.5,7.40280897903636e-05,25.0,30,3,-89998.64415,142793.80035
48.0,0.0001017896997903636,25.0,30,3,-89998.64415,142793.80035
48.5,0.0001281175997903636,25.0,30,3,-89998.64415,142793.80035
49.0,0.0001563842997903636,25.0,30,3,-89998.64415,142793.80035
49.5,0.0001845651997903636,25.0,30,3,-89998.64415,142793.80035
50.0,0.0002100473997903636,25.0,30,3,-89998.64415,142793.80035
