Voltage (V),Current (A),Temperature(C),Die Position,Subdie Position,X Position,Y Position
0.0,1e-15,25.0,30,2,-88798.64415,142793.80035
0.5,7.713804e-14,25.0,30,2,-88798.64415,142793.80035
1.0,3.907787e-14,25.0,30,2,-88798.64415,142793.80035
1.5,9.280984e-14,25.0,30,2,-88798.64415,142793.80035
2.0,8.242984e-14,25.0,30,2,-88798.64415,142793.80035
2.5,8.588984e-14,25.0,30,2,-88798.64415,142793.80035
3.0,8.385454000000001e-14,25.0,30,2,-88798.64415,142793.80035
3.5,9.952644e-14,25.0,30,2,-88798.64415,142793.80035
4.0,1.0868524e-13,25.0,30,2,-88798.64415,142793.80035
4.5,8.711104e-14,25.0,30,2,-88798.64415,142793.80035
5.0,1.4674544e-13,25.0,30,2,-88798.64415,142793.80035
5.5,1.5285144e-13,25.0,30,2,-88798.64415,142793.80035
6.0,1.1540184e-13,25.0,30,2,-88798.64415,142793.80035
6.5,1.2069364e-13,25.0,30,2,-88798.64415,142793.80035
7.0,1.1886183999999998e-13,25.0,30,2,-88798.64415,142793.80035
7.5,1.2415363999999998e-13,25.0,30,2,-88798.64415,142793.80035
8.0,1.7585034e-13,25.0,30,2,-88798.64415,142793.80035
8.5,1.4532074e-13,25.0,30,2,-88798.64415,142793.80035
9.0,1.7992093999999999e-13,25.0,30,2,-88798.64415,142793.80035
9.5,1.5997494e-13,25.0,30,2,-88798.64415,142793.80035
10.0,1.8195614e-13,25.0,30,2,-88798.64415,142793.80035
10.5,1.7992083999999998e-13,25.0,30,2,-88798.64415,142793.80035
11.0,2.2958234e-13,25.0,30,2,-88798.64415,142793.80035
11.5,2.0882224e-13,25.0,30,2,-88798.64415,142793.80035
12.0,1.5590434e-13,25.0,30,2,-88798.64415,142793.80035
12.5,1.5631134e-13,25.0,30,2,-88798.64415,142793.80035
13.0,1.9538924e-13,25.0,30,2,-88798.64415,142793.80035
13.5,2.1574223999999997e-13,25.0,30,2,-88798.64415,142793.80035
14.0,2.3589174000000003e-13,25.0,30,2,-88798.64415,142793.80035
14.5,2.4403304000000003e-13,25.0,30,2,-88798.64415,142793.80035
15.0,2.4301534e-13,25.0,30,2,-88798.64415,142793.80035
15.5,2.5176714000000003e-13,25.0,30,2,-88798.64415,142793.80035
16.0,2.5604124e-13,25.0,30,2,-88798.64415,142793.80035
16.5,2.7130604000000004e-13,25.0,30,2,-88798.64415,142793.80035
17.0,3.1689704e-13,25.0,30,2,-88798.64415,142793.80035
17.5,3.1486164000000004e-13,25.0,30,2,-88798.64415,142793.80035
18.0,3.6269124e-13,25.0,30,2,-88798.64415,142793.80035
18.5,3.2157814000000004e-13,25.0,30,2,-88798.64415,142793.80035
19.0,3.5088644e-13,25.0,30,2,-88798.64415,142793.80035
19.5,3.1933934e-13,25.0,30,2,-88798.64415,142793.80035
20.0,3.5027594e-13,25.0,30,2,-88798.64415,142793.80035
20.5,4.1845854e-13,25.0,30,2,-88798.64415,142793.80035
21.0,4.0868904e-13,25.0,30,2,-88798.64415,142793.80035
21.5,4.2883864e-13,25.0,30,2,-88798.64415,142793.80035
22.0,4.2700684000000003e-13,25.0,30,2,-88798.64415,142793.80035
22.5,4.4084694e-13,25.0,30,2,-88798.64415,142793.80035
23.0,4.6364234e-13,25.0,30,2,-88798.64415,142793.80035
23.5,4.5753664e-13,25.0,30,2,-88798.64415,142793.80035
24.0,5.4831094e-13,25.0,30,2,-88798.64415,142793.80035
24.5,5.456650399999999e-13,25.0,30,2,-88798.64415,142793.80035
25.0,6.3562574e-13,25.0,30,2,-88798.64415,142793.80035
25.5,6.169008399999999e-13,25.0,30,2,-88798.64415,142793.80035
26.0,6.081491399999999e-13,25.0,30,2,-88798.64415,142793.80035
26.5,6.431564399999999e-13,25.0,30,2,-88798.64415,142793.80035
27.0,7.143918399999999e-13,25.0,30,2,-88798.64415,142793.80035
27.5,7.666992399999999e-13,25.0,30,2,-88798.64415,142793.80035
28.0,8.0577704e-13,25.0,30,2,-88798.64415,142793.80035
28.5,8.3101494e-13,25.0,30,2,-88798.64415,142793.80035
29.0,9.272847399999999e-13,25.0,30,2,-88798.64415,142793.80035
29.5,9.6738014e-13,25.0,30,2,-88798.64415,142793.80035
30.0,1.04146544e-12,25.0,30,2,-88798.64415,142793.80035
30.5,1.11677144e-12,25.0,30,2,-88798.64415,142793.80035
31.0,1.09662244e-12,25.0,30,2,-88798.64415,142793.80035
31.5,1.18475044e-12,25.0,30,2,-88798.64415,142793.80035
32.0,1.2478454399999999e-12,25.0,30,2,-88798.64415,142793.80035
32.5,1.34574344e-12,25.0,30,2,-88798.64415,142793.80035
33.0,1.45137644e-12,25.0,30,2,-88798.64415,142793.80035
33.5,1.57105144e-12,25.0,30,2,-88798.64415,142793.80035
34.0,1.65755244e-12,25.0,30,2,-88798.64415,142793.80035
34.5,1.7996164399999998e-12,25.0,30,2,-88798.64415,142793.80035
35.0,1.90789444e-12,25.0,30,2,-88798.64415,142793.80035
35.5,2.0898504399999998e-12,25.0,30,2,-88798.64415,142793.80035
36.0,2.20199544e-12,25.0,30,2,-88798.64415,142793.80035
36.5,2.40511944e-12,25.0,30,2,-88798.64415,142793.80035
37.0,2.64447144e-12,25.0,30,2,-88798.64415,142793.80035
37.5,2.93816644e-12,25.0,30,2,-88798.64415,142793.80035
38.0,3.19115444e-12,25.0,30,2,-88798.64415,142793.80035
38.5,3.53003144e-12,25.0,30,2,-88798.64415,142793.80035
39.0,3.88132544e-12,25.0,30,2,-88798.64415,142793.80035
39.5,4.4088764399999996e-12,25.0,30,2,-88798.64415,142793.80035
40.0,4.93866544e-12,25.0,30,2,-88798.64415,142793.80035
40.5,5.64674744e-12,25.0,30,2,-88798.64415,142793.80035
41.0,6.54533544e-12,25.0,30,2,-88798.64415,142793.80035
41.5,7.72296344e-12,25.0,30,2,-88798.64415,142793.80035
42.0,9.36036644e-12,25.0,30,2,-88798.64415,142793.80035
42.5,1.162505044e-11,25.0,30,2,-88798.64415,142793.80035
43.0,1.5088120440000002e-11,25.0,30,2,-88798.64415,142793.80035
43.5,2.1397770440000003e-11,25.0,30,2,-88798.64415,142793.80035
44.0,3.576601044e-11,25.0,30,2,-88798.64415,142793.80035
44.5,9.770970044e-11,25.0,30,2,-88798.64415,142793.80035
45.0,1.22947493044e-09,25.0,30,2,-88798.64415,142793.80035
45.5,2.6509677293044e-07,25.0,30,2,-88798.64415,142793.80035
46.0,7.50988997293044e-06,25.0,30,2,-88798.64415,142793.80035
46.5,2.466779997293044e-05,25.0,30,2,-88798.64415,142793.80035
47.0,6.0828809972930436e-05,25.0,30,2,-88798.64415,142793.80035
47.5,9.155105997293044e-05,25.0,30,2,-88798.64415,142793.80035
48.0,0.00011837749997293044,25.0,30,2,-88798.64415,142793.80035
48.5,0.00014621189997293045,25.0,30,2,-88798.64415,142793.80035
49.0,0.00017515719997293044,25.0,30,2,-88798.64415,142793.80035
49.5,0.00020446819997293046,25.0,30,2,-88798.64415,142793.80035
50.0,0.00023213719997293046,25.0,30,2,-88798.64415,142793.80035
