Voltage (V),Current (A),Temperature(C),Die Position,Subdie Position,X Position,Y Position
0.0,1e-15,25.0,4,5,37199.3974,34799.04372
0.5,-8.731460000000001e-14,25.0,4,5,37199.3974,34799.04372
1.0,-1.1703010000000001e-13,25.0,4,5,37199.3974,34799.04372
1.5,-1.1906540000000004e-13,25.0,4,5,37199.3974,34799.04372
2.0,-8.609340000000001e-14,25.0,4,5,37199.3974,34799.04372
2.5,-3.9688400000000016e-14,25.0,4,5,37199.3974,34799.04372
3.0,-3.663550000000001e-14,25.0,4,5,37199.3974,34799.04372
3.5,-8.711110000000002e-14,25.0,4,5,37199.3974,34799.04372
4.0,-7.021800000000001e-14,25.0,4,5,37199.3974,34799.04372
4.5,-4.7626100000000016e-14,25.0,4,5,37199.3974,34799.04372
5.0,-6.3094000000000074e-15,25.0,4,5,37199.3974,34799.04372
5.5,-9.219930000000003e-14,25.0,4,5,37199.3974,34799.04372
6.0,-2.2998900000000024e-14,25.0,4,5,37199.3974,34799.04372
6.5,-1.974250000000003e-14,25.0,4,5,37199.3974,34799.04372
7.0,2.4627199999999966e-14,25.0,4,5,37199.3974,34799.04372
7.5,1.6485999999999976e-14,25.0,4,5,37199.3974,34799.04372
8.0,-2.1167200000000024e-14,25.0,4,5,37199.3974,34799.04372
8.5,8.751799999999967e-15,25.0,4,5,37199.3974,34799.04372
9.0,2.238799999999962e-15,25.0,4,5,37199.3974,34799.04372
9.5,1.4654199999999994e-14,25.0,4,5,37199.3974,34799.04372
10.0,-3.4600000000000176e-15,25.0,4,5,37199.3974,34799.04372
10.5,1.8521199999999992e-14,25.0,4,5,37199.3974,34799.04372
11.0,4.416609999999997e-14,25.0,4,5,37199.3974,34799.04372
11.5,1.8928199999999972e-14,25.0,4,5,37199.3974,34799.04372
12.0,9.138519999999998e-14,25.0,4,5,37199.3974,34799.04372
12.5,5.9431e-14,25.0,4,5,37199.3974,34799.04372
13.0,7.26605e-14,25.0,4,5,37199.3974,34799.04372
13.5,1.7503599999999984e-14,25.0,4,5,37199.3974,34799.04372
14.0,8.019099999999996e-14,25.0,4,5,37199.3974,34799.04372
14.5,1.160124e-13,25.0,4,5,37199.3974,34799.04372
15.0,7.26605e-14,25.0,4,5,37199.3974,34799.04372
15.5,9.708409999999997e-14,25.0,4,5,37199.3974,34799.04372
16.0,1.078711e-13,25.0,4,5,37199.3974,34799.04372
16.5,9.810179999999998e-14,25.0,4,5,37199.3974,34799.04372
17.0,1.371795e-13,25.0,4,5,37199.3974,34799.04372
17.5,1.0888899999999998e-13,25.0,4,5,37199.3974,34799.04372
18.0,1.5264789999999996e-13,25.0,4,5,37199.3974,34799.04372
18.5,1.7523989999999996e-13,25.0,4,5,37199.3974,34799.04372
19.0,1.530549e-13,25.0,4,5,37199.3974,34799.04372
19.5,2.0638009999999998e-13,25.0,4,5,37199.3974,34799.04372
20.0,2.2795450000000003e-13,25.0,4,5,37199.3974,34799.04372
20.5,1.9620349999999996e-13,25.0,4,5,37199.3974,34799.04372
21.0,2.279543e-13,25.0,4,5,37199.3974,34799.04372
21.5,2.9104879999999997e-13,25.0,4,5,37199.3974,34799.04372
22.0,2.3487429999999995e-13,25.0,4,5,37199.3974,34799.04372
22.5,2.745628e-13,25.0,4,5,37199.3974,34799.04372
23.0,3.4803729999999996e-13,25.0,4,5,37199.3974,34799.04372
23.5,3.637092e-13,25.0,4,5,37199.3974,34799.04372
24.0,3.7999149999999994e-13,25.0,4,5,37199.3974,34799.04372
24.5,4.176447e-13,25.0,4,5,37199.3974,34799.04372
25.0,4.084861e-13,25.0,4,5,37199.3974,34799.04372
25.5,4.259897e-13,25.0,4,5,37199.3974,34799.04372
26.0,4.693416e-13,25.0,4,5,37199.3974,34799.04372
26.5,4.854206e-13,25.0,4,5,37199.3974,34799.04372
27.0,5.145252e-13,25.0,4,5,37199.3974,34799.04372
27.5,5.501433e-13,25.0,4,5,37199.3974,34799.04372
28.0,5.835222e-13,25.0,4,5,37199.3974,34799.04372
28.5,6.663595e-13,25.0,4,5,37199.3974,34799.04372
29.0,6.736862e-13,25.0,4,5,37199.3974,34799.04372
29.5,7.115431999999999e-13,25.0,4,5,37199.3974,34799.04372
30.0,7.624259e-13,25.0,4,5,37199.3974,34799.04372
30.5,8.149361999999999e-13,25.0,4,5,37199.3974,34799.04372
31.0,8.389531999999999e-13,25.0,4,5,37199.3974,34799.04372
31.5,9.156842e-13,25.0,4,5,37199.3974,34799.04372
32.0,1.0192812e-12,25.0,4,5,37199.3974,34799.04372
32.5,1.0866502000000001e-12,25.0,4,5,37199.3974,34799.04372
33.0,1.1593102e-12,25.0,4,5,37199.3974,34799.04372
33.5,1.2588362000000001e-12,25.0,4,5,37199.3974,34799.04372
34.0,1.3209141999999999e-12,25.0,4,5,37199.3974,34799.04372
34.5,1.4772251999999998e-12,25.0,4,5,37199.3974,34799.04372
35.0,1.5274972000000001e-12,25.0,4,5,37199.3974,34799.04372
35.5,1.6335361999999997e-12,25.0,4,5,37199.3974,34799.04372
36.0,1.8386952e-12,25.0,4,5,37199.3974,34799.04372
36.5,1.9836082e-12,25.0,4,5,37199.3974,34799.04372
37.0,2.1686182e-12,25.0,4,5,37199.3974,34799.04372
37.5,2.3872102e-12,25.0,4,5,37199.3974,34799.04372
38.0,2.6257482e-12,25.0,4,5,37199.3974,34799.04372
38.5,2.8990902e-12,25.0,4,5,37199.3974,34799.04372
39.0,3.1524862e-12,25.0,4,5,37199.3974,34799.04372
39.5,3.5475392e-12,25.0,4,5,37199.3974,34799.04372
40.0,3.9554132e-12,25.0,4,5,37199.3974,34799.04372
40.5,4.5255032e-12,25.0,4,5,37199.3974,34799.04372
41.0,5.0685232000000005e-12,25.0,4,5,37199.3974,34799.04372
41.5,5.9913292e-12,25.0,4,5,37199.3974,34799.04372
42.0,7.0220082000000005e-12,25.0,4,5,37199.3974,34799.04372
42.5,8.3510642e-12,25.0,4,5,37199.3974,34799.04372
43.0,1.0386162199999999e-11,25.0,4,5,37199.3974,34799.04372
43.5,1.33953622e-11,25.0,4,5,37199.3974,34799.04372
44.0,1.8677182200000002e-11,25.0,4,5,37199.3974,34799.04372
44.5,2.98556922e-11,25.0,4,5,37199.3974,34799.04372
45.0,7.46625522e-11,25.0,4,5,37199.3974,34799.04372
45.5,6.880400821999999e-10,25.0,4,5,37199.3974,34799.04372
46.0,7.898193838219999e-08,25.0,4,5,37199.3974,34799.04372
46.5,3.2795147683822e-06,25.0,4,5,37199.3974,34799.04372
47.0,1.6817169768382202e-05,25.0,4,5,37199.3974,34799.04372
47.5,4.05916697683822e-05,25.0,4,5,37199.3974,34799.04372
48.0,7.57406997683822e-05,25.0,4,5,37199.3974,34799.04372
48.5,0.0001046757997683822,25.0,4,5,37199.3974,34799.04372
49.0,0.0001321522997683822,25.0,4,5,37199.3974,34799.04372
49.5,0.0001605375997683822,25.0,4,5,37199.3974,34799.04372
50.0,0.00018917479976838218,25.0,4,5,37199.3974,34799.04372
