Voltage (V),Current (A),Temperature(C),Die Position,Subdie Position,X Position,Y Position
0.0,1e-15,25.0,17,6,-31199.54805,85197.6093
0.5,2.1981310000000002e-14,25.0,17,6,-31199.54805,85197.6093
1.0,2.2184849999999998e-14,25.0,17,6,-31199.54805,85197.6093
1.5,5.312153999999999e-14,25.0,17,6,-31199.54805,85197.6093
2.0,3.3175440000000004e-14,25.0,17,6,-31199.54805,85197.6093
2.5,6.818264000000001e-14,25.0,17,6,-31199.54805,85197.6093
3.0,5.373203999999999e-14,25.0,17,6,-31199.54805,85197.6093
3.5,6.228033999999999e-14,25.0,17,6,-31199.54805,85197.6093
4.0,1.2354294e-13,25.0,17,6,-31199.54805,85197.6093
4.5,1.2802063999999998e-13,25.0,17,6,-31199.54805,85197.6093
5.0,5.373203999999999e-14,25.0,17,6,-31199.54805,85197.6093
5.5,6.940383999999999e-14,25.0,17,6,-31199.54805,85197.6093
6.0,1.0237583999999999e-13,25.0,17,6,-31199.54805,85197.6093
6.5,1.5427614e-13,25.0,17,6,-31199.54805,85197.6093
7.0,1.0074754e-13,25.0,17,6,-31199.54805,85197.6093
7.5,1.5183373999999998e-13,25.0,17,6,-31199.54805,85197.6093
8.0,1.3148064e-13,25.0,17,6,-31199.54805,85197.6093
8.5,1.4348894e-13,25.0,17,6,-31199.54805,85197.6093
9.0,1.1743713999999999e-13,25.0,17,6,-31199.54805,85197.6093
9.5,1.1499473999999998e-13,25.0,17,6,-31199.54805,85197.6093
10.0,1.5163024e-13,25.0,17,6,-31199.54805,85197.6093
10.5,1.8745153999999997e-13,25.0,17,6,-31199.54805,85197.6093
11.0,1.6241723999999997e-13,25.0,17,6,-31199.54805,85197.6093
11.5,1.6404553999999996e-13,25.0,17,6,-31199.54805,85197.6093
12.0,2.2042343999999997e-13,25.0,17,6,-31199.54805,85197.6093
12.5,1.9925633999999998e-13,25.0,17,6,-31199.54805,85197.6093
13.0,2.4118354e-13,25.0,17,6,-31199.54805,85197.6093
13.5,2.2591874e-13,25.0,17,6,-31199.54805,85197.6093
14.0,1.6913373999999997e-13,25.0,17,6,-31199.54805,85197.6093
14.5,2.3711294e-13,25.0,17,6,-31199.54805,85197.6093
15.0,2.4118364e-13,25.0,17,6,-31199.54805,85197.6093
15.5,2.3711304e-13,25.0,17,6,-31199.54805,85197.6093
16.0,2.7028854e-13,25.0,17,6,-31199.54805,85197.6093
16.5,2.1126453999999997e-13,25.0,17,6,-31199.54805,85197.6093
17.0,2.7863314e-13,25.0,17,6,-31199.54805,85197.6093
17.5,2.9206604e-13,25.0,17,6,-31199.54805,85197.6093
18.0,3.0203924e-13,25.0,17,6,-31199.54805,85197.6093
18.5,3.1791453999999997e-13,25.0,17,6,-31199.54805,85197.6093
19.0,3.6737244e-13,25.0,17,6,-31199.54805,85197.6093
19.5,3.8243364e-13,25.0,17,6,-31199.54805,85197.6093
20.0,4.0156564e-13,25.0,17,6,-31199.54805,85197.6093
20.5,3.8406183999999995e-13,25.0,17,6,-31199.54805,85197.6093
21.0,3.8935383999999997e-13,25.0,17,6,-31199.54805,85197.6093
21.5,4.6242104e-13,25.0,17,6,-31199.54805,85197.6093
22.0,4.9478234e-13,25.0,17,6,-31199.54805,85197.6093
22.5,4.6649174e-13,25.0,17,6,-31199.54805,85197.6093
23.0,5.3650634e-13,25.0,17,6,-31199.54805,85197.6093
23.5,5.715134399999999e-13,25.0,17,6,-31199.54805,85197.6093
24.0,5.9675124e-13,25.0,17,6,-31199.54805,85197.6093
24.5,6.4051014e-13,25.0,17,6,-31199.54805,85197.6093
25.0,6.6941174e-13,25.0,17,6,-31199.54805,85197.6093
25.5,6.4580204e-13,25.0,17,6,-31199.54805,85197.6093
26.0,7.1439204e-13,25.0,17,6,-31199.54805,85197.6093
26.5,7.4390344e-13,25.0,17,6,-31199.54805,85197.6093
27.0,8.0292754e-13,25.0,17,6,-31199.54805,85197.6093
27.5,8.387492399999999e-13,25.0,17,6,-31199.54805,85197.6093
28.0,8.9756944e-13,25.0,17,6,-31199.54805,85197.6093
28.5,9.7511384e-13,25.0,17,6,-31199.54805,85197.6093
29.0,1.05835884e-12,25.0,17,6,-31199.54805,85197.6093
29.5,1.05510184e-12,25.0,17,6,-31199.54805,85197.6093
30.0,1.13529284e-12,25.0,17,6,-31199.54805,85197.6093
30.5,1.25537584e-12,25.0,17,6,-31199.54805,85197.6093
31.0,1.36243284e-12,25.0,17,6,-31199.54805,85197.6093
31.5,1.40069684e-12,25.0,17,6,-31199.54805,85197.6093
32.0,1.51019584e-12,25.0,17,6,-31199.54805,85197.6093
32.5,1.56067084e-12,25.0,17,6,-31199.54805,85197.6093
33.0,1.71250484e-12,25.0,17,6,-31199.54805,85197.6093
33.5,1.8089778400000001e-12,25.0,17,6,-31199.54805,85197.6093
34.0,1.96345784e-12,25.0,17,6,-31199.54805,85197.6093
34.5,2.1747228399999998e-12,25.0,17,6,-31199.54805,85197.6093
35.0,2.28930984e-12,25.0,17,6,-31199.54805,85197.6093
35.5,2.51644984e-12,25.0,17,6,-31199.54805,85197.6093
36.0,2.73544884e-12,25.0,17,6,-31199.54805,85197.6093
