Voltage (V),Current (A),Temperature(C),Die Position,Subdie Position,X Position,Y Position
0.0,1e-15,25.0,9,7,-70798.94545,51598.56558
0.5,1.243571e-13,25.0,9,7,-70798.94545,51598.56558
1.0,1.245608e-13,25.0,9,7,-70798.94545,51598.56558
1.5,9.850879999999999e-14,25.0,9,7,-70798.94545,51598.56558
2.0,1.1011e-13,25.0,9,7,-70798.94545,51598.56558
2.5,1.337195e-13,25.0,9,7,-70798.94545,51598.56558
3.0,1.992563e-13,25.0,9,7,-70798.94545,51598.56558
3.5,1.4898430000000002e-13,25.0,9,7,-70798.94545,51598.56558
4.0,1.7239020000000003e-13,25.0,9,7,-70798.94545,51598.56558
4.5,1.522408e-13,25.0,9,7,-70798.94545,51598.56558
5.0,1.495949e-13,25.0,9,7,-70798.94545,51598.56558
5.5,2.11061e-13,25.0,9,7,-70798.94545,51598.56558
6.0,1.414536e-13,25.0,9,7,-70798.94545,51598.56558
6.5,1.599749e-13,25.0,9,7,-70798.94545,51598.56558
7.0,1.760538e-13,25.0,9,7,-70798.94545,51598.56558
7.5,2.5034250000000005e-13,25.0,9,7,-70798.94545,51598.56558
8.0,2.450508e-13,25.0,9,7,-70798.94545,51598.56558
8.5,2.1248590000000002e-13,25.0,9,7,-70798.94545,51598.56558
9.0,2.336531e-13,25.0,9,7,-70798.94545,51598.56558
9.5,2.7293439999999994e-13,25.0,9,7,-70798.94545,51598.56558
10.0,2.4057299999999997e-13,25.0,9,7,-70798.94545,51598.56558
10.5,2.362989e-13,25.0,9,7,-70798.94545,51598.56558
11.0,2.7924369999999994e-13,25.0,9,7,-70798.94545,51598.56558
11.5,3.140476e-13,25.0,9,7,-70798.94545,51598.56558
12.0,3.0590629999999994e-13,25.0,9,7,-70798.94545,51598.56558
12.5,2.8758850000000003e-13,25.0,9,7,-70798.94545,51598.56558
13.0,3.044817e-13,25.0,9,7,-70798.94545,51598.56558
13.5,2.908451e-13,25.0,9,7,-70798.94545,51598.56558
14.0,3.079416e-13,25.0,9,7,-70798.94545,51598.56558
14.5,3.380641e-13,25.0,9,7,-70798.94545,51598.56558
15.0,3.2463099999999997e-13,25.0,9,7,-70798.94545,51598.56558
15.5,3.600455e-13,25.0,9,7,-70798.94545,51598.56558
16.0,3.5617830000000003e-13,25.0,9,7,-70798.94545,51598.56558
16.5,3.81416e-13,25.0,9,7,-70798.94545,51598.56558
17.0,3.7042539999999994e-13,25.0,9,7,-70798.94545,51598.56558
17.5,3.5760300000000003e-13,25.0,9,7,-70798.94545,51598.56558
18.0,3.9932679999999995e-13,25.0,9,7,-70798.94545,51598.56558
18.5,3.858937e-13,25.0,9,7,-70798.94545,51598.56558
19.0,4.432893e-13,25.0,9,7,-70798.94545,51598.56558
19.5,4.666952e-13,25.0,9,7,-70798.94545,51598.56558
20.0,4.595717e-13,25.0,9,7,-70798.94545,51598.56558
20.5,4.870484e-13,25.0,9,7,-70798.94545,51598.56558
21.0,5.090294e-13,25.0,9,7,-70798.94545,51598.56558
21.5,4.890837e-13,25.0,9,7,-70798.94545,51598.56558
22.0,5.501427e-13,25.0,9,7,-70798.94545,51598.56558
22.5,5.450544e-13,25.0,9,7,-70798.94545,51598.56558
23.0,5.700889e-13,25.0,9,7,-70798.94545,51598.56558
23.5,6.565896e-13,25.0,9,7,-70798.94545,51598.56558
24.0,6.567929e-13,25.0,9,7,-70798.94545,51598.56558
24.5,6.920035e-13,25.0,9,7,-70798.94545,51598.56558
25.0,7.229401e-13,25.0,9,7,-70798.94545,51598.56558
25.5,7.778935999999999e-13,25.0,9,7,-70798.94545,51598.56558
26.0,7.839993999999999e-13,25.0,9,7,-70798.94545,51598.56558
26.5,7.563191e-13,25.0,9,7,-70798.94545,51598.56558
27.0,8.994005999999999e-13,25.0,9,7,-70798.94545,51598.56558
27.5,8.676506e-13,25.0,9,7,-70798.94545,51598.56558
28.0,9.743006e-13,25.0,9,7,-70798.94545,51598.56558
28.5,1.0255896e-12,25.0,9,7,-70798.94545,51598.56558
29.0,1.0833926e-12,25.0,9,7,-70798.94545,51598.56558
29.5,1.1609376e-12,25.0,9,7,-70798.94545,51598.56558
30.0,1.1967586e-12,25.0,9,7,-70798.94545,51598.56558
30.5,1.2751186e-12,25.0,9,7,-70798.94545,51598.56558
31.0,1.2663666e-12,25.0,9,7,-70798.94545,51598.56558
31.5,1.3984576e-12,25.0,9,7,-70798.94545,51598.56558
32.0,1.4678616e-12,25.0,9,7,-70798.94545,51598.56558
32.5,1.5496806e-12,25.0,9,7,-70798.94545,51598.56558
33.0,1.6610116e-12,25.0,9,7,-70798.94545,51598.56558
33.5,1.7479196e-12,25.0,9,7,-70798.94545,51598.56558
34.0,1.8437816e-12,25.0,9,7,-70798.94545,51598.56558
34.5,2.0021276000000003e-12,25.0,9,7,-70798.94545,51598.56558
35.0,2.2056596000000003e-12,25.0,9,7,-70798.94545,51598.56558
35.5,2.2878856e-12,25.0,9,7,-70798.94545,51598.56558
36.0,2.4873466000000004e-12,25.0,9,7,-70798.94545,51598.56558
36.5,2.6841596000000003e-12,25.0,9,7,-70798.94545,51598.56558
37.0,2.9108916e-12,25.0,9,7,-70798.94545,51598.56558
37.5,3.2047896000000003e-12,25.0,9,7,-70798.94545,51598.56558
38.0,3.5021496e-12,25.0,9,7,-70798.94545,51598.56558
38.5,3.8393976e-12,25.0,9,7,-70798.94545,51598.56558
39.0,4.2464586e-12,25.0,9,7,-70798.94545,51598.56558
39.5,4.8322196e-12,25.0,9,7,-70798.94545,51598.56558
40.0,5.3500006e-12,25.0,9,7,-70798.94545,51598.56558
40.5,6.1508956e-12,25.0,9,7,-70798.94545,51598.56558
41.0,7.1139976e-12,25.0,9,7,-70798.94545,51598.56558
41.5,8.3168626e-12,25.0,9,7,-70798.94545,51598.56558
42.0,1.00592826e-11,25.0,9,7,-70798.94545,51598.56558
42.5,1.2556402599999999e-11,25.0,9,7,-70798.94545,51598.56558
43.0,1.6336172600000003e-11,25.0,9,7,-70798.94545,51598.56558
43.5,2.34159726e-11,25.0,9,7,-70798.94545,51598.56558
44.0,4.08145626e-11,25.0,9,7,-70798.94545,51598.56558
44.5,1.327889626e-10,25.0,9,7,-70798.94545,51598.56558
45.0,2.6774343626000002e-09,25.0,9,7,-70798.94545,51598.56558
45.5,3.578726133626e-07,25.0,9,7,-70798.94545,51598.56558
46.0,7.2889498133625995e-06,25.0,9,7,-70798.94545,51598.56558
46.5,2.72154598133626e-05,25.0,9,7,-70798.94545,51598.56558
47.0,5.89489898133626e-05,25.0,9,7,-70798.94545,51598.56558
47.5,9.290396981336261e-05,25.0,9,7,-70798.94545,51598.56558
48.0,0.0001209815998133626,25.0,9,7,-70798.94545,51598.56558
48.5,0.00014889229981336258,25.0,9,7,-70798.94545,51598.56558
49.0,0.0001775925998133626,25.0,9,7,-70798.94545,51598.56558
49.5,0.0002067055998133626,25.0,9,7,-70798.94545,51598.56558
50.0,0.0002342259998133626,25.0,9,7,-70798.94545,51598.56558
