Voltage (V),Current (A),Temperature(C),Die Position,Subdie Position,X Position,Y Position
0.0,1e-15,25.0,1,6,-2400.0,1200.0
0.5,5.3935649999999996e-14,25.0,1,6,-2400.0,1200.0
1.0,1.0868534000000001e-13,25.0,1,6,-2400.0,1200.0
1.5,1.3982554e-13,25.0,1,6,-2400.0,1200.0
2.0,1.6770934e-13,25.0,1,6,-2400.0,1200.0
2.5,1.2008303999999999e-13,25.0,1,6,-2400.0,1200.0
3.0,1.8521284000000002e-13,25.0,1,6,-2400.0,1200.0
3.5,1.4613494e-13,25.0,1,6,-2400.0,1200.0
4.0,1.6078914e-13,25.0,1,6,-2400.0,1200.0
4.5,2.0902593999999997e-13,25.0,1,6,-2400.0,1200.0
5.0,2.0984003999999999e-13,25.0,1,6,-2400.0,1200.0
5.5,2.5787323999999996e-13,25.0,1,6,-2400.0,1200.0
6.0,2.0515883999999996e-13,25.0,1,6,-2400.0,1200.0
6.5,2.1940603999999998e-13,25.0,1,6,-2400.0,1200.0
7.0,1.9884953999999996e-13,25.0,1,6,-2400.0,1200.0
7.5,1.9477883999999996e-13,25.0,1,6,-2400.0,1200.0
8.0,1.9437173999999997e-13,25.0,1,6,-2400.0,1200.0
8.5,2.5889094e-13,25.0,1,6,-2400.0,1200.0
9.0,2.5034264e-13,25.0,1,6,-2400.0,1200.0
9.5,3.1384414e-13,25.0,1,6,-2400.0,1200.0
10.0,2.5644853999999997e-13,25.0,1,6,-2400.0,1200.0
10.5,2.8657114e-13,25.0,1,6,-2400.0,1200.0
11.0,2.4708624e-13,25.0,1,6,-2400.0,1200.0
11.5,2.5583804e-13,25.0,1,6,-2400.0,1200.0
12.0,3.0509233999999997e-13,25.0,1,6,-2400.0,1200.0
12.5,3.1689714e-13,25.0,1,6,-2400.0,1200.0
13.0,2.9939354e-13,25.0,1,6,-2400.0,1200.0
13.5,3.7775294e-13,25.0,1,6,-2400.0,1200.0
14.0,3.3663953999999997e-13,25.0,1,6,-2400.0,1200.0
14.5,3.7266453999999996e-13,25.0,1,6,-2400.0,1200.0
15.0,3.1710073999999997e-13,25.0,1,6,-2400.0,1200.0
15.5,3.2259613999999997e-13,25.0,1,6,-2400.0,1200.0
16.0,3.5027623999999997e-13,25.0,1,6,-2400.0,1200.0
16.5,4.0685773999999997e-13,25.0,1,6,-2400.0,1200.0
17.0,3.8670814e-13,25.0,1,6,-2400.0,1200.0
17.5,4.3107773999999994e-13,25.0,1,6,-2400.0,1200.0
18.0,3.9647773999999997e-13,25.0,1,6,-2400.0,1200.0
18.5,4.1560964e-13,25.0,1,6,-2400.0,1200.0
19.0,5.0577364e-13,25.0,1,6,-2400.0,1200.0
19.5,4.7565104e-13,25.0,1,6,-2400.0,1200.0
20.0,4.9478304e-13,25.0,1,6,-2400.0,1200.0
20.5,5.0190664e-13,25.0,1,6,-2400.0,1200.0
21.0,5.4729394e-13,25.0,1,6,-2400.0,1200.0
21.5,5.9166364e-13,25.0,1,6,-2400.0,1200.0
22.0,6.0570724e-13,25.0,1,6,-2400.0,1200.0
22.5,6.0977794e-13,25.0,1,6,-2400.0,1200.0
23.0,6.5740394e-13,25.0,1,6,-2400.0,1200.0
23.5,6.8854424e-13,25.0,1,6,-2400.0,1200.0
24.0,6.883404399999999e-13,25.0,1,6,-2400.0,1200.0
24.5,7.6039014e-13,25.0,1,6,-2400.0,1200.0
25.0,7.6466464e-13,25.0,1,6,-2400.0,1200.0
25.5,8.1269794e-13,25.0,1,6,-2400.0,1200.0
26.0,8.4913004e-13,25.0,1,6,-2400.0,1200.0
26.5,8.9227844e-13,25.0,1,6,-2400.0,1200.0
27.0,9.1731264e-13,25.0,1,6,-2400.0,1200.0
27.5,9.584251400000001e-13,25.0,1,6,-2400.0,1200.0
