Voltage (V),Current (A),Temperature(C),Die Position,Subdie Position,X Position,Y Position
0.0,1e-15,25.0,21,6,-40799.3974,101997.13116
0.5,-8.34474e-14,25.0,21,6,-40799.3974,101997.13116
1.0,-8.304040000000001e-14,25.0,21,6,-40799.3974,101997.13116
1.5,-1.1112761e-13,25.0,21,6,-40799.3974,101997.13116
2.0,-6.472260000000001e-14,25.0,21,6,-40799.3974,101997.13116
2.5,-7.12357e-14,25.0,21,6,-40799.3974,101997.13116
3.0,-3.9077800000000013e-14,25.0,21,6,-40799.3974,101997.13116
3.5,-5.352849999999999e-14,25.0,21,6,-40799.3974,101997.13116
4.0,-5.617439999999999e-14,25.0,21,6,-40799.3974,101997.13116
4.5,-2.2388299999999997e-14,25.0,21,6,-40799.3974,101997.13116
5.0,-2.0353e-14,25.0,21,6,-40799.3974,101997.13116
5.5,-5.12896e-14,25.0,21,6,-40799.3974,101997.13116
6.0,-1.6078900000000014e-14,25.0,21,6,-40799.3974,101997.13116
6.5,-1.9945900000000012e-14,25.0,21,6,-40799.3974,101997.13116
7.0,-2.8697700000000004e-14,25.0,21,6,-40799.3974,101997.13116
7.5,-8.934987e-14,25.0,21,6,-40799.3974,101997.13116
8.0,7.734199999999984e-15,25.0,21,6,-40799.3974,101997.13116
8.5,-3.23614e-14,25.0,21,6,-40799.3974,101997.13116
9.0,-6.920099999999992e-15,25.0,21,6,-40799.3974,101997.13116
9.5,-2.014950000000001e-14,25.0,21,6,-40799.3974,101997.13116
10.0,-1.0176500000000012e-14,25.0,21,6,-40799.3974,101997.13116
10.5,4.396260000000001e-14,25.0,21,6,-40799.3974,101997.13116
11.0,5.149320000000002e-14,25.0,21,6,-40799.3974,101997.13116
11.5,5.86168e-14,25.0,21,6,-40799.3974,101997.13116
12.0,5.434270000000002e-14,25.0,21,6,-40799.3974,101997.13116
12.5,4.131670000000001e-14,25.0,21,6,-40799.3974,101997.13116
13.0,4.335209999999999e-14,25.0,21,6,-40799.3974,101997.13116
13.5,7.774869999999998e-14,25.0,21,6,-40799.3974,101997.13116
14.0,8.77217e-14,25.0,21,6,-40799.3974,101997.13116
14.5,9.871229999999998e-14,25.0,21,6,-40799.3974,101997.13116
15.0,9.525230000000001e-14,25.0,21,6,-40799.3974,101997.13116
15.5,6.67581e-14,25.0,21,6,-40799.3974,101997.13116
16.0,1.4857719999999998e-13,25.0,21,6,-40799.3974,101997.13116
16.5,1.532584e-13,25.0,21,6,-40799.3974,101997.13116
17.0,1.412501e-13,25.0,21,6,-40799.3974,101997.13116
17.5,1.9518579999999997e-13,25.0,21,6,-40799.3974,101997.13116
18.0,1.689302e-13,25.0,21,6,-40799.3974,101997.13116
18.5,1.597714e-13,25.0,21,6,-40799.3974,101997.13116
19.0,1.9762800000000002e-13,25.0,21,6,-40799.3974,101997.13116
19.5,2.102472e-13,25.0,21,6,-40799.3974,101997.13116
20.0,1.3209130000000001e-13,25.0,21,6,-40799.3974,101997.13116
20.5,2.4993549999999997e-13,25.0,21,6,-40799.3974,101997.13116
21.0,2.436261e-13,25.0,21,6,-40799.3974,101997.13116
21.5,2.464755e-13,25.0,21,6,-40799.3974,101997.13116
22.0,3.156758e-13,25.0,21,6,-40799.3974,101997.13116
