Voltage (V),Current (A),Temperature(C),Die Position,Subdie Position,X Position,Y Position
0.0,1e-15,25.0,27,0,19199.6987,125996.41395
0.5,1.0644745000000001e-13,25.0,27,0,19199.6987,125996.41395
1.0,4.233533e-14,25.0,27,0,19199.6987,125996.41395
1.5,1.2028751e-13,25.0,27,0,19199.6987,125996.41395
2.0,8.528026000000001e-14,25.0,27,0,19199.6987,125996.41395
2.5,7.713904000000001e-14,25.0,27,0,19199.6987,125996.41395
3.0,7.347552e-14,25.0,27,0,19199.6987,125996.41395
3.5,1.1662397e-13,25.0,27,0,19199.6987,125996.41395
4.0,6.798018e-14,25.0,27,0,19199.6987,125996.41395
4.5,2.3610524e-14,25.0,27,0,19199.6987,125996.41395
5.0,6.106013e-14,25.0,27,0,19199.6987,125996.41395
5.5,1.2924281e-13,25.0,27,0,19199.6987,125996.41395
6.0,1.1234984e-13,25.0,27,0,19199.6987,125996.41395
6.5,1.3249931e-13,25.0,27,0,19199.6987,125996.41395
7.0,1.0542978e-13,25.0,27,0,19199.6987,125996.41395
7.5,1.1133217e-13,25.0,27,0,19199.6987,125996.41395
8.0,1.9742561e-13,25.0,27,0,19199.6987,125996.41395
8.5,1.5834771e-13,25.0,27,0,19199.6987,125996.41395
9.0,1.2028751e-13,25.0,27,0,19199.6987,125996.41395
9.5,1.8582440999999999e-13,25.0,27,0,19199.6987,125996.41395
10.0,1.5692301e-13,25.0,27,0,19199.6987,125996.41395
10.5,1.7564781e-13,25.0,27,0,19199.6987,125996.41395
11.0,1.8399251e-13,25.0,27,0,19199.6987,125996.41395
11.5,1.8114310999999998e-13,25.0,27,0,19199.6987,125996.41395
12.0,1.9620441e-13,25.0,27,0,19199.6987,125996.41395
12.5,1.8623141e-13,25.0,27,0,19199.6987,125996.41395
13.0,2.3446821e-13,25.0,27,0,19199.6987,125996.41395
13.5,1.9437260999999998e-13,25.0,27,0,19199.6987,125996.41395
14.0,2.2978691e-13,25.0,27,0,19199.6987,125996.41395
14.5,2.2225631e-13,25.0,27,0,19199.6987,125996.41395
15.0,2.4667991e-13,25.0,27,0,19199.6987,125996.41395
15.5,2.5706001e-13,25.0,27,0,19199.6987,125996.41395
16.0,2.1350441e-13,25.0,27,0,19199.6987,125996.41395
16.5,2.7110360999999997e-13,25.0,27,0,19199.6987,125996.41395
17.0,2.8779311e-13,25.0,27,0,19199.6987,125996.41395
17.5,3.0590741e-13,25.0,27,0,19199.6987,125996.41395
18.0,3.3195930999999997e-13,25.0,27,0,19199.6987,125996.41395
