Voltage (V),Current (A),Temperature(C),Die Position,Subdie Position,X Position,Y Position
0.0,1e-15,25.0,24,6,7199.84935,118796.65302
0.5,3.948491e-14,25.0,24,6,7199.84935,118796.65302
1.0,8.405808e-14,25.0,24,6,7199.84935,118796.65302
1.5,1.0929582e-13,25.0,24,6,7199.84935,118796.65302
2.0,1.0603931999999999e-13,25.0,24,6,7199.84935,118796.65302
2.5,7.978395e-14,25.0,24,6,7199.84935,118796.65302
3.0,1.1336652e-13,25.0,24,6,7199.84935,118796.65302
3.5,6.696154e-14,25.0,24,6,7199.84935,118796.65302
4.0,1.0787112e-13,25.0,24,6,7199.84935,118796.65302
4.5,1.6078912e-13,25.0,24,6,7199.84935,118796.65302
5.0,1.3433012e-13,25.0,24,6,7199.84935,118796.65302
5.5,1.1092412000000001e-13,25.0,24,6,7199.84935,118796.65302
6.0,1.2761362e-13,25.0,24,6,7199.84935,118796.65302
6.5,1.2049002e-13,25.0,24,6,7199.84935,118796.65302
7.0,1.2761362e-13,25.0,24,6,7199.84935,118796.65302
7.5,1.3249832e-13,25.0,24,6,7199.84935,118796.65302
8.0,1.8317732e-13,25.0,24,6,7199.84935,118796.65302
8.5,1.0298642000000001e-13,25.0,24,6,7199.84935,118796.65302
9.0,1.8256682e-13,25.0,24,6,7199.84935,118796.65302
9.5,1.6201022e-13,25.0,24,6,7199.84935,118796.65302
10.0,1.7971742e-13,25.0,24,6,7199.84935,118796.65302
10.5,2.7110242e-13,25.0,24,6,7199.84935,118796.65302
11.0,1.9009742e-13,25.0,24,6,7199.84935,118796.65302
11.5,1.7483272e-13,25.0,24,6,7199.84935,118796.65302
12.0,2.2571522e-13,25.0,24,6,7199.84935,118796.65302
12.5,2.7313782e-13,25.0,24,6,7199.84935,118796.65302
13.0,2.4301532e-13,25.0,24,6,7199.84935,118796.65302
13.5,2.5746602e-13,25.0,24,6,7199.84935,118796.65302
14.0,2.6947422e-13,25.0,24,6,7199.84935,118796.65302
14.5,2.4118362e-13,25.0,24,6,7199.84935,118796.65302
15.0,1.9722102e-13,25.0,24,6,7199.84935,118796.65302
15.5,2.4545762e-13,25.0,24,6,7199.84935,118796.65302
16.0,2.9349092e-13,25.0,24,6,7199.84935,118796.65302
